Pos,No,Driver,Car,Time,Gap
1,6,Nelson PiquetPIQ,Williams Honda,1:18.601,
2,12,Ayrton SennaSEN,Lotus Renault,1:18.779,+0.180s
3,20,Gerhard BergerBER,Benetton BMW,1:19.004,+0.403s
4,2,Keke RosbergROS,McLaren TAG,1:19.099,+0.500s
5,5,Nigel MansellMAN,Williams Honda,1:19.588,+0.986s
6,1,Alain ProstPRO,McLaren TAG,1:19.851,+1.250s
7,15,Alan  JonesJON,Lola Ford,1:20.471,+1.870s
8,27,Michele AlboretoALB,Ferrari,1:20.737,+2.136s
9,7,Riccardo PatresePAT,Brabham BMW,1:20.746,+2.146s
10,16,Patrick TambayTAM,Lola Ford,1:20.950,+2.350s
11,28,Stefan JohanssonJOH,Ferrari,1:20.978,+2.376s
12,19,Teo FabiFAB,Benetton BMW,1:21.205,+2.606s
13,26,Philippe AlliotALL,Ligier Renault,1:21.359,+2.760s
14,4,Philippe StreiffSTR,Tyrrell Renault,1:21.460,+2.860s
15,14,Jonathan  PalmerPAL,Zakspeed,1:21.484,+2.883s
16,25,Rene ArnouxARN,Ligier Renault,1:21.747,+3.146s
17,8,Derek WarwickWAR,Brabham BMW,1:21.768,+3.166s
18,11,Johnny DumfriesDUM,Lotus Renault,1:22.011,+3.410s
19,18,Thierry BoutsenBOU,Arrows BMW,1:22.050,+3.450s
20,17,Christian DannerDAN,Arrows BMW,1:22.597,+3.996s
21,3,Martin BrundleBRU,Tyrrell Renault,1:22.812,+4.213s
22,29,Huub RothengatterROT,Zakspeed,1:22.947,+4.346s
23,23,Andrea de CesarisDEC,Minardi Motori Moderni,1:23.986,+5.386s
24,24,Alessandro NanniniNAN,Minardi Motori Moderni,1:25.920,+7.320s
25,21,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:27.024,+8.423s
26,22,Allen BergBER,Osella Alfa Romeo,1:28.977,+10.376s
