Pos,No,Driver,Car,Time
1,16,Dan GurneyGUR,Brabham Ford,1:31.200
2,18,Jim ClarkCLA,Lotus Climax,1:31.300
3,6,Graham HillHIL,BRM,1:31.400
4,2,John SurteesSUR,Ferrari,1:32.800
5,24,Bruce McLarenMCL,Cooper Climax,1:33.300
6,20,Peter  Arundell ARU,Lotus Climax,1:33.500
7,14,Jack BrabhamBRA,Brabham Ford,1:33.800
8,8,Richie GintherGIN,BRM,1:34.000
9,22,Phil HillHIL,Cooper Climax,1:34.800
10,4,Lorenzo BandiniBAN,Ferrari,1:35.000
11,34,Bob AndersonAND,Brabham Climax,1:35.400
12,26,Jo BonnierBON,Cooper Climax,1:35.400
13,10,Chris AmonAMO,Lotus Climax,1:35.900
14,12,Mike HailwoodHAI,Lotus Climax,1:36.100
15,30,Tony MaggsMAG,BRM,1:37.000
16,32,Giancarlo BaghettiBAG,BRM,1:38.000
17,28,Carel Godin de Beaufort DEB,Porsche,1:39.900
18,36,Jo SiffertSIF,Lotus BRM,1:44.000
