Pos,No,Driver,Car,Time
1,2,Alain ProstPRO,Williams Renault,1:47.571
2,0,Damon HillHIL,Williams Renault,1:48.466
3,5,Michael SchumacherMSC,Benetton Ford,1:49.075
4,27,Jean AlesiALE,Ferrari,1:49.825
5,8,Ayrton SennaSEN,McLaren Ford,1:49.934
6,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:50.329
7,9,Derek WarwickWAR,Footwork Mugen Honda,1:50.628
8,6,Riccardo PatresePAT,Benetton Ford,1:51.017
9,30,Jyrki JarvilehtoJAR,Sauber,1:51.048
10,12,Johnny HerbertHER,Lotus Ford,1:51.139
11,25,Martin BrundleBRU,Ligier Renault,1:51.350
12,29,Karl WendlingerWEN,Sauber,1:51.440
13,14,Rubens BarrichelloBAR,Jordan Hart,1:51.711
14,7,Michael AndrettiAND,McLaren Ford,1:51.833
15,26,Mark BlundellBLU,Ligier Renault,1:51.916
16,28,Gerhard BergerBER,Ferrari,1:52.080
17,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:52.647
18,19,Philippe AlliotALL,Larrousse Lamborghini,1:52.907
19,20,Erik ComasCOM,Larrousse Lamborghini,1:53.186
20,15,Thierry BoutsenBOU,Jordan Hart,1:53.465
21,24,Pierluigi MartiniMAR,Minardi Ford,1:53.526
22,23,Christian FittipaldiFIT,Minardi Ford,1:53.942
23,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:54.551
24,22,Luca BadoerBAD,Lola Ferrari,1:54.978
25,21,Michele AlboretoALB,Lola Ferrari,1:55.965
