Pos,No,Driver,Car,Time
1,2,Alain ProstPRO,Williams Renault,1:37.154
2,8,Ayrton SennaSEN,McLaren Ford,1:37.284
3,7,Mika HakkinenHAK,McLaren Ford,1:37.326
4,5,Michael SchumacherMSC,Benetton Ford,1:37.530
5,28,Gerhard BergerBER,Ferrari,1:37.622
6,0,Damon HillHIL,Williams Renault,1:38.352
7,9,Derek WarwickWAR,Footwork Mugen Honda,1:38.780
8,15,Eddie IrvineIRV,Jordan Hart,1:38.966
9,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:39.278
10,6,Riccardo PatresePAT,Benetton Ford,1:39.291
11,30,Jyrki JarvilehtoJAR,Sauber,1:39.391
12,14,Rubens BarrichelloBAR,Jordan Hart,1:39.426
13,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:39.511
14,27,Jean AlesiALE,Ferrari,1:39.535
15,25,Martin BrundleBRU,Ligier Renault,1:39.951
16,29,Karl WendlingerWEN,Sauber,1:40.153
17,26,Mark BlundellBLU,Ligier Renault,1:40.696
18,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:40.696
19,12,Johnny HerbertHER,Lotus Ford,1:41.488
20,11,Pedro LamyLAM,Lotus Ford,1:41.600
21,20,Erik ComasCOM,Larrousse Lamborghini,1:41.769
22,24,Pierluigi MartiniMAR,Minardi Ford,1:41.989
23,19,Toshio  SuzukiSUZ,Larrousse Lamborghini,1:42.175
24,23,Jean-Marc GounonGOU,Minardi Ford,1:43.812
