Pos,No,Driver,Car,Time
1,2,Alain ProstPRO,Williams Renault,1:17.809
2,0,Damon HillHIL,Williams Renault,1:18.346
3,8,Ayrton SennaSEN,McLaren Ford,1:19.722
4,5,Michael SchumacherMSC,Benetton Ford,1:20.520
5,6,Riccardo PatresePAT,Benetton Ford,1:20.600
6,29,Karl WendlingerWEN,Sauber,1:21.203
7,7,Michael AndrettiAND,McLaren Ford,1:21.360
8,27,Jean AlesiALE,Ferrari,1:21.767
9,30,Jyrki JarvilehtoJAR,Sauber,1:22.047
10,12,Johnny HerbertHER,Lotus Ford,1:22.470
11,28,Gerhard BergerBER,Ferrari,1:22.655
12,26,Mark BlundellBLU,Ligier Renault,1:22.708
13,19,Philippe AlliotALL,Larrousse Lamborghini,1:22.887
14,20,Erik ComasCOM,Larrousse Lamborghini,1:22.904
15,11,Alessandro ZanardiZAN,Lotus Ford,1:23.026
16,9,Derek WarwickWAR,Footwork Mugen Honda,1:23.086
17,14,Rubens BarrichelloBAR,Jordan Hart,1:23.232
18,25,Martin BrundleBRU,Ligier Renault,1:23.357
19,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:23.432
20,23,Christian FittipaldiFIT,Minardi Ford,1:23.449
21,15,Thierry BoutsenBOU,Jordan Hart,1:23.464
22,22,Luca BadoerBAD,Lola Ferrari,1:24.268
23,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:24.291
24,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:24.358
25,24,Fabrizio BarbazzaBAR,Minardi Ford,1:24.399
26,21,Michele AlboretoALB,Lola Ferrari,1:25.396
