Pos,No,Driver,Car,Time
1,0,Damon HillHIL,Williams Renault,1:14.382
2,2,Alain ProstPRO,Williams Renault,1:14.524
3,25,Martin BrundleBRU,Ligier Renault,1:16.169
4,26,Mark BlundellBLU,Ligier Renault,1:16.203
5,8,Ayrton SennaSEN,McLaren Ford,1:16.264
6,27,Jean AlesiALE,Ferrari,1:16.662
7,5,Michael SchumacherMSC,Benetton Ford,1:16.720
8,14,Rubens BarrichelloBAR,Jordan Hart,1:17.168
9,20,Erik ComasCOM,Larrousse Lamborghini,1:17.170
10,19,Philippe AlliotALL,Larrousse Lamborghini,1:17.190
11,29,Karl WendlingerWEN,Sauber,1:17.315
12,6,Riccardo PatresePAT,Benetton Ford,1:17.362
13,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:17.441
14,28,Gerhard BergerBER,Ferrari,1:17.456
15,9,Derek WarwickWAR,Footwork Mugen Honda,1:17.598
16,7,Michael AndrettiAND,McLaren Ford,1:17.659
17,11,Alessandro ZanardiZAN,Lotus Ford,1:17.706
18,30,Jyrki JarvilehtoJAR,Sauber,1:17.812
19,12,Johnny HerbertHER,Lotus Ford,1:17.862
20,15,Thierry BoutsenBOU,Jordan Hart,1:17.997
21,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:19.143
22,22,Luca BadoerBAD,Lola Ferrari,1:19.493
23,23,Christian FittipaldiFIT,Minardi Ford,1:19.519
24,24,Fabrizio BarbazzaBAR,Minardi Ford,1:19.691
25,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:19.856
26,21,Michele AlboretoALB,Lola Ferrari,1:20.130
