Pos,No,Driver,Car,Time
1,2,Alain ProstPRO,Williams Renault,1:20.557
2,5,Michael SchumacherMSC,Benetton Ford,1:21.190
3,8,Ayrton SennaSEN,McLaren Ford,1:21.552
4,0,Damon HillHIL,Williams Renault,1:21.825
5,27,Jean AlesiALE,Ferrari,1:21.948
6,6,Riccardo PatresePAT,Benetton Ford,1:22.117
7,28,Gerhard BergerBER,Ferrari,1:22.394
8,29,Karl WendlingerWEN,Sauber,1:22.477
9,7,Michael AndrettiAND,McLaren Ford,1:22.994
10,20,Erik ComasCOM,Larrousse Lamborghini,1:23.246
11,30,Jyrki JarvilehtoJAR,Sauber,1:23.715
12,9,Derek WarwickWAR,Footwork Mugen Honda,1:23.749
13,25,Martin BrundleBRU,Ligier Renault,1:23.786
14,12,Johnny HerbertHER,Lotus Ford,1:23.812
15,19,Philippe AlliotALL,Larrousse Lamborghini,1:23.907
16,14,Rubens BarrichelloBAR,Jordan Hart,1:24.086
17,23,Christian FittipaldiFIT,Minardi Ford,1:24.298
18,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:24.524
19,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:24.544
20,11,Alessandro ZanardiZAN,Lotus Ford,1:24.888
21,26,Mark BlundellBLU,Ligier Renault,1:24.972
22,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:25.236
23,15,Thierry BoutsenBOU,Jordan Hart,1:25.267
24,21,Michele AlboretoALB,Lola Ferrari,1:26.444
25,24,Fabrizio BarbazzaBAR,Minardi Ford,1:26.582
26,22,Luca BadoerBAD,Lola Ferrari,1:29.613
