Pos,No,Driver,Car,Time
1,2,Alain ProstPRO,Williams Renault,1:38.748
2,0,Damon HillHIL,Williams Renault,1:38.905
3,5,Michael SchumacherMSC,Benetton Ford,1:39.580
4,8,Ayrton SennaSEN,McLaren Ford,1:39.616
5,26,Mark BlundellBLU,Ligier Renault,1:40.135
6,25,Martin BrundleBRU,Ligier Renault,1:40.855
7,6,Riccardo PatresePAT,Benetton Ford,1:41.101
8,10,Aguri SuzukiSUZ,Footwork Mugen Honda,1:41.138
9,28,Gerhard BergerBER,Ferrari,1:41.242
10,27,Jean AlesiALE,Ferrari,1:41.304
11,9,Derek WarwickWAR,Footwork Mugen Honda,1:41.449
12,7,Michael AndrettiAND,McLaren Ford,1:41.531
13,12,Johnny HerbertHER,Lotus Ford,1:41.564
14,29,Karl WendlingerWEN,Sauber,1:41.642
15,11,Alessandro ZanardiZAN,Lotus Ford,1:41.858
16,20,Erik ComasCOM,Larrousse Lamborghini,1:41.945
17,14,Rubens BarrichelloBAR,Jordan Hart,1:42.025
18,30,Jyrki JarvilehtoJAR,Sauber,1:42.032
19,4,Andrea de CesarisDEC,Tyrrell Yamaha,1:42.203
20,23,Christian FittipaldiFIT,Minardi Ford,1:42.658
21,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:42.682
22,24,Pierluigi MartiniMAR,Minardi Ford,1:42.786
23,19,Philippe AlliotALL,Larrousse Lamborghini,1:42.910
24,15,Thierry BoutsenBOU,Jordan Hart,1:43.007
25,22,Luca BadoerBAD,Lola Ferrari,1:43.345
26,21,Michele AlboretoALB,Lola Ferrari,1:44.166
