Pos,No,Driver,Car,Laps,Time/retired,Pts
1,2,Rubens BarrichelloBAR,Ferrari,60,1:28:37.554,10
2,3,Juan Pablo MontoyaMOY,Williams BMW,60,+5.462s,8
3,6,Kimi RäikkönenRAI,McLaren Mercedes,60,+10.656s,6
4,1,Michael SchumacherMSC,Ferrari,60,+25.648s,5
5,5,David CoulthardCOU,McLaren Mercedes,60,+36.827s,4
6,7,Jarno TrulliTRU,Renault,60,+43.067s,3
7,21,Cristiano da MattaDAM,Toyota,60,+45.085s,2
8,17,Jenson ButtonBUT,BAR Honda,60,+45.478s,1
9,4,Ralf SchumacherRSC,Williams BMW,60,+58.032s,0
10,16,Jacques VilleneuveVIL,BAR Honda,60,+63.569s,0
11,20,Olivier PanisPAN,Toyota,60,+65.207s,0
12,10,Heinz-Harald FrentzenFRE,Sauber Petronas,60,+65.564s,0
13,12,Ralph FirmanFIR,Jordan Ford,59,+1 lap,0
14,14,Mark WebberWEB,Jaguar Cosworth,59,+1 lap,0
15,19,Jos VerstappenVER,Minardi Cosworth,58,+2 laps,0
16,18,Justin WilsonWIL,Minardi Cosworth,58,+2 laps,0
17,9,Nick HeidfeldHEI,Sauber Petronas,58,+2 laps,0
NC,8,Fernando AlonsoALO,Renault,52,DNF,0
NC,11,Giancarlo FisichellaFIS,Jordan Ford,44,DNF,0
NC,15,Antonio PizzoniaPIZ,Jaguar Cosworth,32,DNF,0
