Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Michael SchumacherMSC,Ferrari,69,1:24:04.888,10
2,6,Kimi RäikkönenRAI,McLaren Mercedes,69,+3.362s,8
3,2,Rubens BarrichelloBAR,Ferrari,69,+3.951s,6
4,17,Jenson ButtonBUT,BAR Honda,69,+42.243s,5
5,5,David CoulthardCOU,McLaren Mercedes,69,+59.740s,4
6,4,Ralf SchumacherRSC,Williams BMW,68,+1 lap,3
7,14,Mark WebberWEB,Jaguar Cosworth,68,+1 lap,2
8,7,Jarno TrulliTRU,Renault,68,+1 lap,1
9,15,Antonio PizzoniaPIZ,Jaguar Cosworth,68,+1 lap,0
10,21,Cristiano da MattaDAM,Toyota,68,+1 lap,0
11,12,Ralph FirmanFIR,Jordan Ford,68,+1 lap,0
12,16,Jacques VilleneuveVIL,BAR Honda,68,+1 lap,0
13,18,Justin WilsonWIL,Minardi Cosworth,67,+2 laps,0
NC,11,Giancarlo FisichellaFIS,Jordan Ford,60,DNF,0
NC,9,Nick HeidfeldHEI,Sauber Petronas,46,DNF,0
NC,8,Fernando AlonsoALO,Renault,44,DNF,0
NC,3,Juan Pablo MontoyaMOY,Williams BMW,32,DNF,0
NC,20,Olivier PanisPAN,Toyota,6,DNF,0
NC,19,Jos VerstappenVER,Minardi Cosworth,0,DNF,0
NC,10,Heinz-Harald FrentzenFRE,Sauber Petronas,,DNS,0
