Pos,No,Driver,Car,Time,Gap,Laps
1,16,Nico RosbergROS,Williams Toyota,1:33.339,,36
2,7,Fernando AlonsoALO,Renault,1:33.530,+0.191s,25
3,9,Jarno TrulliTRU,Toyota,1:33.616,+0.277s,37
4,15,Sebastian VettelVET,RBR Renault,1:33.661,+0.322s,29
5,14,Mark WebberWEB,RBR Renault,1:33.676,+0.337s,32
6,22,Jenson ButtonBUT,Brawn Mercedes,1:33.694,+0.355s,35
7,20,Adrian SutilSUT,Force India Mercedes,1:33.763,+0.424s,30
8,10,Timo GlockGLO,Toyota,1:33.764,+0.425s,37
9,23,Rubens BarrichelloBAR,Brawn Mercedes,1:33.885,+0.546s,30
10,17,Kazuki NakajimaNAK,Williams Toyota,1:33.899,+0.560s,36
11,1,Lewis HamiltonHAM,McLaren Mercedes,1:33.994,+0.655s,30
12,21,Giancarlo FisichellaFIS,Force India Mercedes,1:34.025,+0.686s,23
13,12,Sebastien BuemiBUE,STR Ferrari,1:34.127,+0.788s,37
14,11,Sebastien BourdaisBOU,STR Ferrari,1:34.366,+1.027s,26
15,8,Nelson PiquetPIQ,Renault,1:34.411,+1.072s,29
16,3,Felipe MassaMAS,Ferrari,1:34.564,+1.225s,34
17,5,Robert KubicaKUB,Sauber BMW,1:34.605,+1.266s,31
18,4,Kimi RäikkönenRAI,Ferrari,1:34.670,+1.331s,28
19,2,Heikki KovalainenKOV,McLaren Mercedes,1:34.764,+1.425s,35
20,6,Nick HeidfeldHEI,Sauber BMW,1:34.790,+1.451s,33
