Pos,No,Driver,Car,Time,Gap,Laps
1,7,Fernando AlonsoALO,Renault,1:12.314,,27
2,12,Sebastien BuemiBUE,STR Ferrari,1:12.357,+0.043s,45
3,23,Rubens BarrichelloBAR,Brawn Mercedes,1:12.459,+0.145s,38
4,14,Mark WebberWEB,RBR Renault,1:12.514,+0.200s,41
5,22,Jenson ButtonBUT,Brawn Mercedes,1:12.523,+0.209s,45
6,9,Jarno TrulliTRU,Toyota,1:12.605,+0.291s,37
7,15,Sebastian VettelVET,RBR Renault,1:12.611,+0.297s,45
8,16,Nico RosbergROS,Williams Toyota,1:12.633,+0.319s,42
9,20,Adrian SutilSUT,Force India Mercedes,1:12.720,+0.406s,35
10,1,Lewis HamiltonHAM,McLaren Mercedes,1:12.749,+0.435s,39
11,8,Romain GrosjeanGRO,Renault,1:12.806,+0.492s,27
12,5,Robert KubicaKUB,Sauber BMW,1:12.862,+0.548s,39
13,10,Kamui KobayashiKOB,Toyota,1:12.869,+0.555s,40
14,17,Kazuki NakajimaNAK,Williams Toyota,1:12.929,+0.615s,41
15,6,Nick HeidfeldHEI,Sauber BMW,1:12.948,+0.634s,38
16,21,Vitantonio LiuzziLIU,Force India Mercedes,1:12.950,+0.636s,36
17,2,Heikki KovalainenKOV,McLaren Mercedes,1:12.992,+0.678s,39
18,4,Kimi RäikkönenRAI,Ferrari,1:13.026,+0.712s,42
19,11,Jaime AlguersuariALG,STR Ferrari,1:13.041,+0.727s,40
20,3,Giancarlo FisichellaFIS,Ferrari,1:13.275,+0.961s,38
