Pos,No,Driver,Car,Time,Gap,Laps
1,12,Felipe MassaMAS,Sauber Petronas,1:35.608,,19
2,10,Juan Pablo MontoyaMOY,McLaren Mercedes,1:35.620,+0.012s,13
3,38,Ricardo ZontaZON,Toyota,1:35.677,+0.069s,30
4,9,Kimi RäikkönenRAI,McLaren Mercedes,1:35.719,+0.111s,6
5,17,Ralf SchumacherRSC,Toyota,1:35.838,+0.230s,16
6,6,Giancarlo FisichellaFIS,Renault,1:35.841,+0.233s,16
7,2,Rubens BarrichelloBAR,Ferrari,1:35.949,+0.341s,7
8,3,Jenson ButtonBUT,BAR Honda,1:35.992,+0.384s,19
9,5,Fernando AlonsoALO,Renault,1:36.103,+0.495s,15
10,14,David CoulthardCOU,RBR Cosworth,1:36.575,+0.967s,20
11,16,Jarno TrulliTRU,Toyota,1:36.841,+1.233s,18
12,15,Christian KlienKLI,RBR Cosworth,1:36.968,+1.360s,19
13,35,Pedro de la RosaDLR,McLaren Mercedes,1:37.033,+1.425s,31
14,4,Takuma SatoSAT,BAR Honda,1:37.044,+1.436s,18
15,8,Nick HeidfeldHEI,Williams BMW,1:37.067,+1.459s,17
16,1,Michael SchumacherMSC,Ferrari,1:37.270,+1.662s,22
17,39,Robert DoornbosDOO,Jordan Toyota,1:37.878,+2.270s,23
18,11,Jacques VilleneuveVIL,Sauber Petronas,1:38.121,+2.513s,19
19,19,Narain KarthikeyanKAR,Jordan Toyota,1:38.855,+3.247s,21
20,37,Vitantonio LiuzziLIU,RBR Cosworth,1:39.349,+3.741s,11
21,18,Tiago MonteiroMON,Jordan Toyota,1:39.755,+4.147s,21
22,20,Patrick Friesacher FRI,Minardi Cosworth,1:40.940,+5.332s,19
23,21,Christijan AlbersALB,Minardi Cosworth,1:41.156,+5.548s,16
24,7,Mark WebberWEB,Williams BMW,,,2
