Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Sebastian VettelVET,Red Bull Racing Renault,41,1:36.379,202.151
2,14,Kamui KobayashiKOB,Sauber Ferrari,54,1:36.700,201.480
3,10,Romain GrosjeanGRO,Lotus Renault,42,1:36.928,201.006
4,17,Jean-Eric VergneVER,STR Ferrari,43,1:37.058,200.737
5,9,Kimi RäikkönenRAI,Lotus Renault,41,1:37.116,200.617
6,2,Mark WebberWEB,Red Bull Racing Renault,45,1:37.437,199.956
7,4,Lewis HamiltonHAM,McLaren Mercedes,38,1:37.733,199.351
8,16,Daniel RicciardoRIC,STR Ferrari,42,1:37.903,199.005
9,3,Jenson ButtonBUT,McLaren Mercedes,47,1:38.046,198.714
10,8,Nico RosbergROS,Mercedes,41,1:38.080,198.646
11,19,Bruno SennaSEN,Williams Renault,51,1:38.087,198.631
12,6,Felipe MassaMAS,Ferrari,42,1:38.123,198.558
13,7,Michael SchumacherMSC,Mercedes,39,1:38.128,198.548
14,15,Sergio PerezPER,Sauber Ferrari,39,1:38.146,198.512
15,5,Fernando AlonsoALO,Ferrari,44,1:38.203,198.397
16,21,Vitaly PetrovPET,Caterham Renault,42,1:38.305,198.191
17,12,Nico HulkenbergHUL,Force India Mercedes,46,1:38.312,198.177
18,11,Paul di RestaDIR,Force India Mercedes,41,1:38.372,198.056
19,20,Heikki KovalainenKOV,Caterham Renault,43,1:38.441,197.917
20,23,Narain KarthikeyanKAR,HRT Cosworth,48,1:39.747,195.326
21,18,Pastor MaldonadoMAL,Williams Renault,14,1:39.876,195.073
22,22,Pedro de la RosaDLR,HRT Cosworth,41,1:40.237,194.371
23,24,Timo GlockGLO,Marussia Cosworth,46,1:40.323,194.204
24,25,Charles PicPIC,Marussia Cosworth,14,1:41.519,191.916
