Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Sebastian VettelVET,Red Bull Racing Renault,56,1:39.347,199.772
2,6,Felipe MassaMAS,Ferrari,56,1:39.402,199.661
3,9,Kimi RäikkönenRAI,Lotus Renault,56,1:39.474,199.517
4,5,Fernando AlonsoALO,Ferrari,56,1:39.672,199.121
5,4,Lewis HamiltonHAM,McLaren Mercedes,55,1:39.709,199.047
6,3,Jenson ButtonBUT,McLaren Mercedes,54,1:40.150,198.170
7,14,Kamui KobayashiKOB,Sauber Ferrari,55,1:40.315,197.844
8,8,Nico RosbergROS,Mercedes,51,1:40.428,197.622
9,11,Paul di RestaDIR,Force India Mercedes,55,1:40.594,197.296
10,10,Romain GrosjeanGRO,Lotus Renault,55,1:40.625,197.235
11,15,Sergio PerezPER,Sauber Ferrari,53,1:40.701,197.086
12,18,Pastor MaldonadoMAL,Williams Renault,53,1:40.719,197.051
13,19,Bruno SennaSEN,Williams Renault,53,1:40.745,197.000
14,16,Daniel RicciardoRIC,STR Ferrari,53,1:40.772,196.947
15,7,Michael SchumacherMSC,Mercedes,54,1:40.923,196.652
16,12,Nico HulkenbergHUL,Force India Mercedes,53,1:41.048,196.409
17,25,Charles PicPIC,Marussia Cosworth,54,1:42.481,193.663
18,21,Vitaly PetrovPET,Caterham Renault,55,1:42.824,193.017
19,20,Heikki KovalainenKOV,Caterham Renault,50,1:43.072,192.552
20,24,Timo GlockGLO,Marussia Cosworth,40,1:43.324,192.083
21,2,Mark WebberWEB,Red Bull Racing Renault,13,1:43.599,191.573
22,23,Narain KarthikeyanKAR,HRT Cosworth,51,1:44.508,189.906
23,22,Pedro de la RosaDLR,HRT Cosworth,43,1:44.664,189.623
24,17,Jean-Eric VergneVER,STR Ferrari,12,1:44.775,189.423
