Pos,No,Driver,Car,Lap,Time,Avg speed
1,9,Kimi RäikkönenRAI,Lotus Renault,53,1:40.722,198.117
2,2,Mark WebberWEB,Red Bull Racing Renault,52,1:41.017,197.539
3,15,Sergio PerezPER,Sauber Ferrari,54,1:41.021,197.531
4,1,Sebastian VettelVET,Red Bull Racing Renault,50,1:41.342,196.905
5,19,Bruno SennaSEN,Williams Renault,55,1:41.404,196.785
6,4,Lewis HamiltonHAM,McLaren Mercedes,50,1:41.539,196.523
7,5,Fernando AlonsoALO,Ferrari,53,1:41.680,196.250
8,16,Daniel RicciardoRIC,STR Ferrari,54,1:41.756,196.104
9,7,Michael SchumacherMSC,Mercedes,53,1:41.760,196.096
10,11,Paul di RestaDIR,Force India Mercedes,55,1:41.819,195.983
11,8,Nico RosbergROS,Mercedes,51,1:41.863,195.898
12,17,Jean-Eric VergneVER,STR Ferrari,55,1:41.922,195.785
13,6,Felipe MassaMAS,Ferrari,56,1:42.051,195.537
14,3,Jenson ButtonBUT,McLaren Mercedes,50,1:42.100,195.443
15,12,Nico HulkenbergHUL,Force India Mercedes,51,1:42.173,195.304
16,18,Pastor MaldonadoMAL,Williams Renault,51,1:42.237,195.181
17,21,Vitaly PetrovPET,Caterham Renault,52,1:43.513,192.775
18,20,Heikki KovalainenKOV,Caterham Renault,54,1:43.803,192.237
19,14,Kamui KobayashiKOB,Sauber Ferrari,44,1:44.202,191.501
20,24,Timo GlockGLO,Marussia Cosworth,50,1:44.757,190.486
21,25,Charles PicPIC,Marussia Cosworth,50,1:44.813,190.384
22,23,Narain KarthikeyanKAR,HRT Cosworth,52,1:45.909,188.414
23,22,Pedro de la RosaDLR,HRT Cosworth,54,1:46.244,187.820
24,10,Romain GrosjeanGRO,Lotus Renault,2,2:08.464,155.333
