Pos,No,Driver,Car,Laps,Time/retired,Pts
1,30,Piero  TaruffiTAR,Ferrari,62,3:01:46.100,9
2,42,Rudi  Fischer FIS,Ferrari,62,+157.200s,6
3,6,Jean BehraBEH,Gordini,61,+1 lap,4
4,22,Ken  WhartonWHA,Frazer Nash,60,+2 laps,3
5,26,Alan BrownBRO,Cooper Bristol,59,+3 laps,2
6,38,Toulo de GraffenriedDEG,Maserati Plate,58,+4 laps,0
7,44,Peter HirtHIR,Ferrari,56,+6 laps,0
8,24,Eric  BrandonBRA,Cooper Bristol,55,+7 laps,0
NC,10,Prince BiraBIR,Gordini,52,DNF,0
NC,32,Andre  SimonSIM,Ferrari,,SHC,0
NC,32,Nino FarinaFAR,Ferrari,51,DNF,0
NC,40,Harry SchellSCH,Maserati Plate,31,DNF,0
NC,46,Stirling MossMOS,HWM Alta,24,DNF,0
NC,20,Lance MacklinMAC,HWM Alta,24,DNF,0
NC,8,Robert  ManzonMAN,Gordini,20,DNF,0
NC,28,Nino FarinaFAR,Ferrari,16,DNF,0
NC,18,Peter CollinsCOL,HWM Alta,12,DNF,0
NC,16,George  Abecassis ABE,HWM Alta,12,DNF,0
NC,4,Toni UlmenULM,Veritas,4,DNF,0
NC,2,Hans Von StuckSTU,AFM Kuchen,4,DNF,0
NC,12,Louis  RosierROS,Ferrari,2,DNF,0
NC,50,Max de TerraDET,Simca-Gordini,1,DNF,0
