Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Max VerstappenVER,Red Bull Racing RBPT,44,1:25:52.894,26
2,11,Sergio PerezPER,Red Bull Racing RBPT,44,+17.841s,18
3,55,Carlos SainzSAI,Ferrari,44,+26.886s,15
4,63,George RussellRUS,Mercedes,44,+29.140s,12
5,14,Fernando AlonsoALO,Alpine Renault,44,+73.256s,10
6,16,Charles LeclercLEC,Ferrari,44,+74.936s,8
7,31,Esteban OconOCO,Alpine Renault,44,+75.640s,6
8,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,44,+78.107s,4
9,10,Pierre GaslyGAS,AlphaTauri RBPT,44,+92.181s,2
10,23,Alexander AlbonALB,Williams Mercedes,44,+101.900s,1
11,18,Lance StrollSTR,Aston Martin Aramco Mercedes,44,+103.078s,0
12,4,Lando NorrisNOR,McLaren Mercedes,44,+104.739s,0
13,22,Yuki TsunodaTSU,AlphaTauri RBPT,44,+105.217s,0
14,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,44,+106.252s,0
15,3,Daniel RicciardoRIC,McLaren Mercedes,44,+107.163s,0
16,20,Kevin MagnussenMAG,Haas Ferrari,43,+1 lap,0
17,47,Mick SchumacherMSC,Haas Ferrari,43,+1 lap,0
18,6,Nicholas LatifiLAT,Williams Mercedes,43,+1 lap,0
NC,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1,DNF,0
NC,44,Lewis HamiltonHAM,Mercedes,0,DNF,0
