Pos,No,Driver,Car,Laps,Time/retired,Pts
1,11,Sergio PerezPER,Red Bull Racing RBPT,59,2:02:20.238,25
2,16,Charles LeclercLEC,Ferrari,59,+2.595s,18
3,55,Carlos SainzSAI,Ferrari,59,+10.305s,15
4,4,Lando NorrisNOR,McLaren Mercedes,59,+21.133s,12
5,3,Daniel RicciardoRIC,McLaren Mercedes,59,+53.282s,10
6,18,Lance StrollSTR,Aston Martin Aramco Mercedes,59,+56.330s,8
7,1,Max VerstappenVER,Red Bull Racing RBPT,59,+58.825s,6
8,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,59,+60.032s,4
9,44,Lewis HamiltonHAM,Mercedes,59,+61.515s,2
10,10,Pierre GaslyGAS,AlphaTauri RBPT,59,+69.576s,1
11,77,Valtteri BottasBOT,Alfa Romeo Ferrari,59,+88.844s,0
12,20,Kevin MagnussenMAG,Haas Ferrari,59,+92.610s,0
13,47,Mick SchumacherMSC,Haas Ferrari,58,+1 lap,0
14,63,George RussellRUS,Mercedes,57,+2 laps,0
NC,22,Yuki TsunodaTSU,AlphaTauri RBPT,34,DNF,0
NC,31,Esteban OconOCO,Alpine Renault,26,DNF,0
NC,23,Alexander AlbonALB,Williams Mercedes,25,DNF,0
NC,14,Fernando AlonsoALO,Alpine Renault,20,DNF,0
NC,6,Nicholas LatifiLAT,Williams Mercedes,7,DNF,0
NC,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,6,DNF,0
