Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Max VerstappenVER,Red Bull Racing RBPT,63,1:32:07.986,26
2,11,Sergio PerezPER,Red Bull Racing RBPT,63,+16.527s,18
3,4,Lando NorrisNOR,McLaren Mercedes,63,+34.834s,15
4,63,George RussellRUS,Mercedes,63,+42.506s,12
5,77,Valtteri BottasBOT,Alfa Romeo Ferrari,63,+43.181s,10
6,16,Charles LeclercLEC,Ferrari,63,+56.072s,8
7,22,Yuki TsunodaTSU,AlphaTauri RBPT,63,+61.110s,6
8,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,63,+70.892s,4
9,20,Kevin MagnussenMAG,Haas Ferrari,63,+75.260s,2
10,18,Lance StrollSTR,Aston Martin Aramco Mercedes,62,+1 lap,1
11,23,Alexander AlbonALB,Williams Mercedes,62,+1 lap,0
12,10,Pierre GaslyGAS,AlphaTauri RBPT,62,+1 lap,0
13,44,Lewis HamiltonHAM,Mercedes,62,+1 lap,0
14,31,Esteban OconOCO,Alpine Renault,62,+1 lap,0
15,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,62,+1 lap,0
16,6,Nicholas LatifiLAT,Williams Mercedes,62,+1 lap,0
17,47,Mick SchumacherMSC,Haas Ferrari,62,+1 lap,0
18,3,Daniel RicciardoRIC,McLaren Mercedes,62,+1 lap,0
NC,14,Fernando AlonsoALO,Alpine Renault,6,DNF,0
NC,55,Carlos SainzSAI,Ferrari,0,DNF,0
