Pos,No,Driver,Car,Time,Laps
1,5,Michael SchumacherMSC,Ferrari,1:14.672,11
2,3,Jacques VilleneuveVIL,Williams Renault,1:14.859,11
3,1,Damon HillHIL,Arrows Yamaha,1:15.044,12
4,9,Mika HakkinenHAK,McLaren Mercedes,1:15.140,10
5,6,Eddie IrvineIRV,Ferrari,1:15.424,11
6,4,Heinz-Harald FrentzenFRE,Williams Renault,1:15.520,12
7,8,Gerhard BergerBER,Benetton Renault,1:15.699,9
8,10,David CoulthardCOU,McLaren Mercedes,1:15.705,11
9,7,Jean AlesiALE,Benetton Renault,1:15.905,12
10,16,Johnny HerbertHER,Sauber Petronas,1:16.138,12
11,22,Rubens BarrichelloBAR,Stewart Ford,1:16.138,12
12,14,Jarno TrulliTRU,Prost Mugen Honda,1:16.297,12
13,12,Giancarlo FisichellaFIS,Jordan Peugeot,1:16.300,12
14,11,Ralf SchumacherRSC,Jordan Peugeot,1:16.686,12
15,17,Gianni MorbidelliMOR,Sauber Petronas,1:16.766,12
16,15,Shinji NakanoNAK,Prost Mugen Honda,1:16.784,12
17,23,Jan MagnussenMAG,Stewart Ford,1:16.858,12
18,18,Jos VerstappenVER,Tyrrell Ford,1:17.095,12
19,2,Pedro DinizDIN,Arrows Yamaha,1:17.118,12
20,20,Ukyo KatayamaKAT,Minardi Hart,1:17.232,12
21,19,Mika SaloSAL,Tyrrell Ford,1:17.482,11
22,21,Tarso MarquesMAR,Minardi Hart,1:18.020,11
