Pos,No,Driver,Car,Time,Laps
1,4,Heinz-Harald FrentzenFRE,Williams Renault,1:18.216,12
2,5,Michael SchumacherMSC,Ferrari,1:18.235,11
3,3,Jacques VilleneuveVIL,Williams Renault,1:18.583,11
4,12,Giancarlo FisichellaFIS,Jordan Peugeot,1:18.665,12
5,10,David CoulthardCOU,McLaren Mercedes,1:18.779,12
6,11,Ralf SchumacherRSC,Jordan Peugeot,1:18.943,11
7,16,Johnny HerbertHER,Sauber Petronas,1:19.105,12
8,9,Mika HakkinenHAK,McLaren Mercedes,1:19.119,12
9,7,Jean AlesiALE,Benetton Renault,1:19.263,9
10,22,Rubens BarrichelloBAR,Stewart Ford,1:19.295,12
11,17,Nicola LariniLAR,Sauber Petronas,1:19.468,12
12,14,Olivier PanisPAN,Prost Mugen Honda,1:19.626,12
13,1,Damon HillHIL,Arrows Yamaha,1:19.674,12
14,19,Mika SaloSAL,Tyrrell Ford,1:19.694,12
15,6,Eddie IrvineIRV,Ferrari,1:19.723,12
16,2,Pedro DinizDIN,Arrows Yamaha,1:19.860,12
17,8,Gerhard BergerBER,Benetton Renault,1:20.199,11
18,21,Jarno TrulliTRU,Minardi Hart,1:20.349,12
19,23,Jan MagnussenMAG,Stewart Ford,1:20.516,11
20,20,Ukyo KatayamaKAT,Minardi Hart,1:20.606,12
21,15,Shinji NakanoNAK,Prost Mugen Honda,1:20.961,12
22,18,Jos VerstappenVER,Tyrrell Ford,1:21.290,11
