Pos,No,Driver,Car,Time,Laps
1,3,Jacques VilleneuveVIL,Williams Renault,1:21.598,12
2,4,Heinz-Harald FrentzenFRE,Williams Renault,1:21.732,11
3,9,Mika HakkinenHAK,McLaren Mercedes,1:21.797,8
4,5,Michael SchumacherMSC,Ferrari,1:21.977,12
5,11,Ralf SchumacherRSC,Jordan Peugeot,1:22.277,12
6,10,David CoulthardCOU,McLaren Mercedes,1:22.279,11
7,6,Eddie IrvineIRV,Ferrari,1:22.342,12
8,8,Alexander WurzWUR,Benetton Renault,1:22.344,12
9,16,Johnny HerbertHER,Sauber Petronas,1:22.368,12
10,12,Giancarlo FisichellaFIS,Jordan Peugeot,1:22.371,11
11,7,Jean AlesiALE,Benetton Renault,1:22.392,11
12,1,Damon HillHIL,Arrows Yamaha,1:23.271,11
13,14,Jarno TrulliTRU,Prost Mugen Honda,1:23.366,12
14,17,Norberto FontanaFON,Sauber Petronas,1:23.790,12
15,15,Shinji NakanoNAK,Prost Mugen Honda,1:23.887,11
16,23,Jan MagnussenMAG,Stewart Ford,1:24.067,10
17,2,Pedro DinizDIN,Arrows Yamaha,1:24.239,12
18,19,Mika SaloSAL,Tyrrell Ford,1:24.478,12
19,20,Ukyo KatayamaKAT,Minardi Hart,1:24.553,12
20,18,Jos VerstappenVER,Tyrrell Ford,1:25.010,12
21,21,Tarso MarquesMAR,Minardi Hart,1:25.154,12
22,22,Rubens BarrichelloBAR,Stewart Ford,1:25.525,4
