Pos,No,Driver,Car,Time,Laps
1,3,Jacques VilleneuveVIL,Williams Renault,1:10.304,12
2,9,Mika HakkinenHAK,McLaren Mercedes,1:10.398,12
3,14,Jarno TrulliTRU,Prost Mugen Honda,1:10.511,12
4,4,Heinz-Harald FrentzenFRE,Williams Renault,1:10.670,11
5,22,Rubens BarrichelloBAR,Stewart Ford,1:10.700,12
6,23,Jan MagnussenMAG,Stewart Ford,1:10.893,12
7,1,Damon HillHIL,Arrows Yamaha,1:11.025,10
8,6,Eddie IrvineIRV,Ferrari,1:11.051,11
9,5,Michael SchumacherMSC,Ferrari,1:11.056,11
10,10,David CoulthardCOU,McLaren Mercedes,1:11.076,12
11,11,Ralf SchumacherRSC,Jordan Peugeot,1:11.186,12
12,16,Johnny HerbertHER,Sauber Petronas,1:11.210,10
13,17,Gianni MorbidelliMOR,Sauber Petronas,1:11.261,12
14,12,Giancarlo FisichellaFIS,Jordan Peugeot,1:11.299,12
15,7,Jean AlesiALE,Benetton Renault,1:11.382,11
16,15,Shinji NakanoNAK,Prost Mugen Honda,1:11.596,11
17,2,Pedro DinizDIN,Arrows Yamaha,1:11.615,7
18,8,Gerhard BergerBER,Benetton Renault,1:11.620,11
19,20,Ukyo KatayamaKAT,Minardi Hart,1:12.036,12
20,18,Jos VerstappenVER,Tyrrell Ford,1:12.230,12
21,21,Tarso MarquesMAR,Minardi Hart,1:12.304,12
22,19,Mika SaloSAL,Tyrrell Ford,1:14.246,6
