Pos,No,Driver,Car,Time,Laps
1,3,Jacques VilleneuveVIL,Williams Renault,1:23.303,11
2,4,Heinz-Harald FrentzenFRE,Williams Renault,1:23.646,12
3,5,Michael SchumacherMSC,Ferrari,1:23.955,11
4,14,Olivier PanisPAN,Prost Mugen Honda,1:24.075,12
5,11,Ralf SchumacherRSC,Jordan Peugeot,1:24.081,11
6,12,Giancarlo FisichellaFIS,Jordan Peugeot,1:24.596,11
7,16,Johnny HerbertHER,Sauber Petronas,1:24.723,12
8,9,Mika HakkinenHAK,McLaren Mercedes,1:24.812,12
9,6,Eddie IrvineIRV,Ferrari,1:24.861,12
10,10,David CoulthardCOU,McLaren Mercedes,1:25.077,12
11,8,Gerhard BergerBER,Benetton Renault,1:25.371,11
12,17,Nicola LariniLAR,Sauber Petronas,1:25.544,11
13,22,Rubens BarrichelloBAR,Stewart Ford,1:25.579,12
14,7,Jean AlesiALE,Benetton Renault,1:25.729,10
15,1,Damon HillHIL,Arrows Yamaha,1:25.743,11
16,23,Jan MagnussenMAG,Stewart Ford,1:26.192,8
17,2,Pedro DinizDIN,Arrows Yamaha,1:26.253,11
18,15,Shinji NakanoNAK,Prost Mugen Honda,1:26.712,12
19,19,Mika SaloSAL,Tyrrell Ford,1:26.852,12
20,21,Jarno TrulliTRU,Minardi Hart,1:26.960,12
21,18,Jos VerstappenVER,Tyrrell Ford,1:27.428,10
22,20,Ukyo KatayamaKAT,Minardi Hart,1:28.727,11
