Pos,No,Driver,Car,Time,Laps
1,5,Michael SchumacherMSC,Ferrari,1:14.548,9
2,4,Heinz-Harald FrentzenFRE,Williams Renault,1:14.749,11
3,11,Ralf SchumacherRSC,Jordan Peugeot,1:14.755,11
4,3,Jacques VilleneuveVIL,Williams Renault,1:14.800,12
5,6,Eddie IrvineIRV,Ferrari,1:14.860,11
6,14,Jarno TrulliTRU,Prost Mugen Honda,1:14.957,12
7,8,Alexander WurzWUR,Benetton Renault,1:14.986,12
8,7,Jean AlesiALE,Benetton Renault,1:15.228,12
9,10,David CoulthardCOU,McLaren Mercedes,1:15.270,11
10,9,Mika HakkinenHAK,McLaren Mercedes,1:15.339,9
11,12,Giancarlo FisichellaFIS,Jordan Peugeot,1:15.453,12
12,15,Shinji NakanoNAK,Prost Mugen Honda,1:15.857,12
13,22,Rubens BarrichelloBAR,Stewart Ford,1:15.876,12
14,16,Johnny HerbertHER,Sauber Petronas,1:16.018,12
15,23,Jan MagnussenMAG,Stewart Ford,1:16.149,12
16,2,Pedro DinizDIN,Arrows Yamaha,1:16.536,12
17,1,Damon HillHIL,Arrows Yamaha,1:16.729,11
18,18,Jos VerstappenVER,Tyrrell Ford,1:16.941,11
19,19,Mika SaloSAL,Tyrrell Ford,1:17.256,12
20,17,Norberto FontanaFON,Sauber Petronas,1:17.538,12
21,20,Ukyo KatayamaKAT,Minardi Hart,1:17.563,12
22,21,Tarso MarquesMAR,Minardi Hart,1:18.280,12
