Pos,No,Driver,Car,Time,Laps
1,3,Jacques VilleneuveVIL,Williams Renault,1:16.525,12
2,4,Heinz-Harald FrentzenFRE,Williams Renault,1:16.791,11
3,10,David CoulthardCOU,McLaren Mercedes,1:17.521,12
4,7,Jean AlesiALE,Benetton Renault,1:17.717,11
5,9,Mika HakkinenHAK,McLaren Mercedes,1:17.737,11
6,8,Gerhard BergerBER,Benetton Renault,1:18.041,11
7,5,Michael SchumacherMSC,Ferrari,1:18.313,11
8,12,Giancarlo FisichellaFIS,Jordan Peugeot,1:18.385,10
9,11,Ralf SchumacherRSC,Jordan Peugeot,1:18.423,11
10,16,Johnny HerbertHER,Sauber Petronas,1:18.494,12
11,6,Eddie IrvineIRV,Ferrari,1:18.873,12
12,14,Olivier PanisPAN,Prost Mugen Honda,1:19.157,12
13,17,Gianni MorbidelliMOR,Sauber Petronas,1:19.323,12
14,19,Mika SaloSAL,Tyrrell Ford,1:20.079,10
15,1,Damon HillHIL,Arrows Yamaha,1:20.089,11
16,15,Shinji NakanoNAK,Prost Mugen Honda,1:20.103,12
17,22,Rubens BarrichelloBAR,Stewart Ford,1:20.255,12
18,21,Jarno TrulliTRU,Minardi Hart,1:20.452,11
19,18,Jos VerstappenVER,Tyrrell Ford,1:20.582,12
20,20,Ukyo KatayamaKAT,Minardi Hart,1:20.672,12
21,2,Pedro DinizDIN,Arrows Yamaha,1:21.029,12
22,23,Jan MagnussenMAG,Stewart Ford,1:21.060,12
