Pos,No,Driver,Car,Time,Laps
1,3,Jacques VilleneuveVIL,Williams Renault,1:36.071,10
2,5,Michael SchumacherMSC,Ferrari,1:36.133,6
3,6,Eddie IrvineIRV,Ferrari,1:36.466,10
4,9,Mika HakkinenHAK,McLaren Mercedes,1:36.469,10
5,8,Gerhard BergerBER,Benetton Renault,1:36.561,11
6,4,Heinz-Harald FrentzenFRE,Williams Renault,1:36.628,12
7,7,Jean AlesiALE,Benetton Renault,1:36.682,6
8,16,Johnny HerbertHER,Sauber Petronas,1:36.906,11
9,12,Giancarlo FisichellaFIS,Jordan Peugeot,1:36.917,11
10,14,Olivier PanisPAN,Prost Mugen Honda,1:37.073,10
11,10,David CoulthardCOU,McLaren Mercedes,1:37.095,11
12,22,Rubens BarrichelloBAR,Stewart Ford,1:37.343,11
13,11,Ralf SchumacherRSC,Jordan Peugeot,1:37.443,11
14,23,Jan MagnussenMAG,Stewart Ford,1:37.480,10
15,15,Shinji NakanoNAK,Prost Mugen Honda,1:37.588,10
16,2,Pedro DinizDIN,Arrows Yamaha,1:37.853,10
17,1,Damon HillHIL,Arrows Yamaha,1:38.022,12
18,17,Gianni MorbidelliMOR,Sauber Petronas,1:38.556,10
19,20,Ukyo KatayamaKAT,Minardi Hart,1:38.983,12
20,21,Tarso MarquesMAR,Minardi Hart,1:39.678,11
21,18,Jos VerstappenVER,Tyrrell Ford,1:40.259,11
22,19,Mika SaloSAL,Tyrrell Ford,1:40.529,9
