Pos,No,Driver,Car,Time,Laps
1,3,Jacques VilleneuveVIL,Williams Renault,1:49.450,11
2,7,Jean AlesiALE,Benetton Renault,1:49.759,11
3,5,Michael SchumacherMSC,Ferrari,1:50.293,11
4,12,Giancarlo FisichellaFIS,Jordan Peugeot,1:50.470,12
5,9,Mika HakkinenHAK,McLaren Mercedes,1:50.503,11
6,11,Ralf SchumacherRSC,Jordan Peugeot,1:50.520,10
7,4,Heinz-Harald FrentzenFRE,Williams Renault,1:50.656,11
8,2,Pedro DinizDIN,Arrows Yamaha,1:50.853,12
9,1,Damon HillHIL,Arrows Yamaha,1:50.970,12
10,10,David CoulthardCOU,McLaren Mercedes,1:51.410,9
11,16,Johnny HerbertHER,Sauber Petronas,1:51.725,11
12,22,Rubens BarrichelloBAR,Stewart Ford,1:51.916,12
13,17,Gianni MorbidelliMOR,Sauber Petronas,1:52.094,7
14,14,Jarno TrulliTRU,Prost Mugen Honda,1:52.274,12
15,8,Gerhard BergerBER,Benetton Renault,1:52.391,11
16,15,Shinji NakanoNAK,Prost Mugen Honda,1:52.749,11
17,6,Eddie IrvineIRV,Ferrari,1:52.793,11
18,23,Jan MagnussenMAG,Stewart Ford,1:52.886,11
19,19,Mika SaloSAL,Tyrrell Ford,1:52.897,11
20,20,Ukyo KatayamaKAT,Minardi Hart,1:53.544,10
21,18,Jos VerstappenVER,Tyrrell Ford,1:53.725,7
22,21,Tarso MarquesMAR,Minardi Hart,1:54.505,12
