Pos,No,Driver,Car,Time
1,6,Jim ClarkCLA,Lotus Climax,3:18.300
2,12,Jackie StewartSTE,BRM,3:18.800
3,4,Lorenzo BandiniBAN,Ferrari,3:19.100
4,2,John SurteesSUR,Ferrari,3:19.100
5,14,Dan GurneyGUR,Brabham Climax,3:19.800
6,16,Denny HulmeHUL,Brabham Climax,3:20.500
7,26,Richie GintherGIN,Honda,3:21.400
8,24,Chris AmonAMO,Lotus BRM,3:23.000
9,18,Bruce McLarenMCL,Cooper Climax,3:23.200
10,8,Mike SpenceSPE,Lotus Climax,3:23.400
11,34,Jo BonnierBON,Brabham Climax,3:23.400
12,20,Jochen RindtRIN,Cooper Climax,3:23.600
13,10,Graham HillHIL,BRM,3:23.700
14,36,Jo SiffertSIF,Brabham Climax,3:25.200
15,30,Bob AndersonAND,Lotus Climax,3:26.000
16,28,Ronnie BucknumBUC,Honda,3:26.300
17,22,Innes IrelandIRE,Lotus BRM,3:30.500
