Pos,No,Driver,Car,Time
1,5,Jim ClarkCLA,Lotus Climax,1:27.200
2,1,John SurteesSUR,Ferrari,1:28.100
3,7,Jack BrabhamBRA,Brabham Climax,1:28.300
4,6,Mike SpenceSPE,Lotus Climax,1:28.300
5,3,Graham HillHIL,BRM,1:28.600
6,2,Lorenzo BandiniBAN,Ferrari,1:29.300
7,11,Jo BonnierBON,Brabham Climax,1:29.300
8,9,Bruce McLarenMCL,Cooper Climax,1:29.400
9,8,Dan GurneyGUR,Brabham Climax,1:29.500
10,10,Jochen RindtRIN,Cooper Climax,1:30.400
11,4,Jackie StewartSTE,BRM,1:30.500
12,14,Bob AndersonAND,Lotus Climax,1:31.000
13,15,Tony MaggsMAG,Lotus BRM,1:31.300
14,12,Jo SiffertSIF,Brabham Climax,1:31.800
15,16,Frank GardnerGAR,Brabham Ford,1:32.300
16,18,Paul HawkinsHAW,Brabham Ford,1:33.100
17,20,Peter de KlerkDEK,LDS Climax,1:33.300
18,17,John LoveLOV,Cooper Climax,1:33.800
19,19,David ProphetPRO,Brabham Ford,1:33.900
20,25,Sam TingleTIN,LDS Alfa Romeo,1:34.600
