Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,6,Nico RosbergROS,Mercedes,1:36.119,1:35.337,1:35.417,16
2,5,Sebastian VettelVET,Ferrari,1:36.555,1:36.623,1:36.123,16
3,77,Valtteri BottasBOT,Williams Mercedes,1:37.746,1:37.140,1:36.536,17
4,7,Kimi RäikkönenRAI,Ferrari,1:36.976,1:36.741,1:36.663,17
5,19,Felipe MassaMAS,Williams Mercedes,1:37.753,1:37.230,1:37.016,16
6,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:38.091,1:37.569,1:37.125,22
7,11,Sergio PerezPER,Force India Mercedes,1:38.006,1:37.282,1:37.212,20
8,26,Daniil KvyatKVY,Red Bull Racing TAG Heuer,1:38.265,1:37.606,1:37.459,22
9,33,Max VerstappenVER,Toro Rosso Ferrari,1:38.123,1:37.510,1:37.583,20
10,44,Lewis HamiltonHAM,Mercedes,1:36.006,1:35.820,,13
11,55,Carlos SainzSAI,Toro Rosso Ferrari,1:37.784,1:37.652,,14
12,22,Jenson ButtonBUT,McLaren Honda,1:38.332,1:37.701,,14
13,27,Nico HulkenbergHUL,Force India Mercedes,1:38.562,1:37.771,,17
14,14,Fernando AlonsoALO,McLaren Honda,1:37.971,1:37.807,,14
15,8,Romain GrosjeanGRO,Haas Ferrari,1:38.383,1:38.055,,16
16,21,Esteban Gutierrez GUT,Haas Ferrari,1:38.678,1:38.115,,18
17,20,Kevin MagnussenMAG,Renault,1:38.914,,,10
18,30,Jolyon PalmerPAL,Renault,1:39.009,,,9
19,12,Felipe NasrNAS,Sauber Ferrari,1:39.018,,,10
20,94,Pascal WehrleinWEH,MRT Mercedes,1:39.399,,,10
21,88,Rio HaryantoHAR,MRT Mercedes,1:39.463,,,10
22,9,Marcus EricssonERI,Sauber Ferrari,1:39.519,,,10
