Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:25.351,1:24.605,1:23.837,14
2,6,Nico RosbergROS,Mercedes,1:26.934,1:24.796,1:24.197,13
3,5,Sebastian VettelVET,Ferrari,1:26.945,1:25.257,1:24.675,14
4,7,Kimi RäikkönenRAI,Ferrari,1:26.579,1:25.615,1:25.033,13
5,33,Max VerstappenVER,Toro Rosso Ferrari,1:26.934,1:25.615,1:25.434,12
6,19,Felipe MassaMAS,Williams Mercedes,1:25.918,1:25.644,1:25.458,12
7,55,Carlos SainzSAI,Toro Rosso Ferrari,1:27.057,1:25.384,1:25.582,14
8,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:26.945,1:25.599,1:25.589,15
9,11,Sergio PerezPER,Force India Mercedes,1:26.607,1:25.753,,12
10,27,Nico HulkenbergHUL,Force India Mercedes,1:26.550,1:25.865,,14
11,77,Valtteri BottasBOT,Williams Mercedes,1:27.135,1:25.961,,9
12,14,Fernando AlonsoALO,McLaren Honda,1:26.537,1:26.125,,9
13,22,Jenson ButtonBUT,McLaren Honda,1:26.740,1:26.304,,9
14,30,Jolyon PalmerPAL,Renault,1:27.241,1:27.601,,12
15,20,Kevin MagnussenMAG,Renault,1:27.297,1:27.742,,11
16,9,Marcus EricssonERI,Sauber Ferrari,1:27.435,,,9
17,12,Felipe NasrNAS,Sauber Ferrari,1:27.958,,,7
18,26,Daniil KvyatKVY,Red Bull Racing TAG Heuer,1:28.006,,,5
19,8,Romain GrosjeanGRO,Haas Ferrari,1:28.322,,,6
20,21,Esteban Gutierrez GUT,Haas Ferrari,1:29.606,,,6
21,88,Rio HaryantoHAR,MRT Mercedes,1:29.627,,,3
22,94,Pascal WehrleinWEH,MRT Mercedes,1:29.642,,,3
