Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,6,Nico RosbergROS,Mercedes,1:33.302,1:22.806,1:19.965,29
2,44,Lewis HamiltonHAM,Mercedes,1:34.210,1:24.836,1:20.108,28
3,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:39.968,1:23.234,1:20.280,27
4,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:40.424,1:22.660,1:20.557,27
5,5,Sebastian VettelVET,Ferrari,1:35.718,1:24.082,1:20.874,25
6,55,Carlos SainzSAI,Toro Rosso Ferrari,1:36.115,1:24.734,1:21.131,28
7,14,Fernando AlonsoALO,McLaren Honda,1:35.165,1:23.816,1:21.211,28
8,22,Jenson ButtonBUT,McLaren Honda,1:37.983,1:24.456,1:21.597,25
9,27,Nico HulkenbergHUL,Force India Mercedes,1:41.471,1:23.901,1:21.823,24
10,77,Valtteri BottasBOT,Williams Mercedes,1:42.758,1:24.506,1:22.182,26
11,8,Romain GrosjeanGRO,Haas Ferrari,1:35.906,1:24.941,,18
12,26,Daniil KvyatKVY,Toro Rosso Ferrari,1:36.714,1:25.301,,21
13,11,Sergio PerezPER,Force India Mercedes,1:41.411,1:25.416,,16
14,7,Kimi RäikkönenRAI,Ferrari,1:36.853,1:25.435,,20
15,21,Esteban Gutierrez GUT,Haas Ferrari,1:38.959,1:26.189,,18
16,12,Felipe NasrNAS,Sauber Ferrari,1:37.772,1:27.063,,21
NC,30,Jolyon PalmerPAL,Renault,1:43.965,,,9
NC,19,Felipe MassaMAS,Williams Mercedes,1:43.999,,,7
NC,20,Kevin MagnussenMAG,Renault,1:44.543,,,9
NC,9,Marcus EricssonERI,Sauber Ferrari,1:46.984,,,5
NC,94,Pascal WehrleinWEH,MRT Mercedes,1:47.343,,,9
NC,88,Rio HaryantoHAR,MRT Mercedes,1:50.189,,,9
