Pos,No,Driver,Car,Time,Gap
1,28,Gerhard BergerBER,Ferrari,1:21.542,
2,23,Pierluigi MartiniMAR,Minardi Ford,1:21.627,+0.085s
3,1,Ayrton SennaSEN,McLaren Honda,1:21.738,+0.196s
4,8,Stefano ModenaMOD,Brabham Judd,1:21.874,+0.332s
5,7,Martin BrundleBRU,Brabham Judd,1:21.887,+0.345s
6,20,Emanuele PirroPIR,Benetton Ford,1:22.045,+0.503s
7,5,Thierry BoutsenBOU,Williams Renault,1:22.416,+0.874s
8,6,Riccardo PatresePAT,Williams Renault,1:22.440,+0.898s
9,17,Nicola LariniLAR,Osella Ford,1:22.449,+0.907s
10,30,Philippe AlliotALL,Lola Lamborghini,1:22.541,+0.999s
11,4,Jean AlesiALE,Tyrrell Ford,1:22.648,+1.106s
12,11,Nelson PiquetPIQ,Lotus Judd,1:22.871,+1.329s
13,19,Alessandro NanniniNAN,Benetton Ford,1:22.986,+1.444s
14,12,Satoru NakajimaNAK,Lotus Judd,1:23.413,+1.871s
15,10,Eddie  CheeverCHE,Arrows Ford,1:23.522,+1.980s
16,24,Luis Perez-SalaPER,Minardi Ford,1:23.546,+2.004s
17,21,Alex CaffiCAF,Dallara Ford,1:23.918,+2.376s
18,3,Jonathan  PalmerPAL,Tyrrell Ford,1:24.265,+2.723s
19,2,Alain ProstPRO,McLaren Honda,1:24.388,+2.846s
20,9,Derek WarwickWAR,Arrows Ford,1:24.486,+2.944s
21,18,Piercarlo GhinzaniGHI,Osella Ford,1:24.501,+2.959s
22,26,Olivier GrouillardGRO,Ligier Ford,1:24.607,+3.065s
23,37,Jyrki JarvilehtoJAR,Onyx Ford,1:24.681,+3.139s
24,22,Andrea de CesarisDEC,Dallara Ford,1:24.701,+3.159s
25,25,Rene ArnouxARN,Ligier Ford,1:25.253,+3.711s
26,16,Ivan CapelliCAP,March Judd,1:25.316,+3.774s
27,15,Mauricio GugelminGUG,March Judd,1:25.904,+4.362s
28,39,Pierre Henri RaphanelRAP,Rial Ford,1:26.577,+5.035s
