Pos,No,Driver,Car,Time,Gap
1,1,Ayrton SennaSEN,McLaren Honda,1:26.243,
2,27,Nigel MansellMAN,Ferrari,1:27.225,+0.982s
3,19,Alessandro NanniniNAN,Benetton Ford,1:27.291,+1.048s
4,2,Alain ProstPRO,McLaren Honda,1:27.444,+1.201s
5,5,Thierry BoutsenBOU,Williams Renault,1:27.777,+1.534s
6,30,Philippe AlliotALL,Lola Lamborghini,1:28.179,+1.936s
7,7,Martin BrundleBRU,Brabham Judd,1:28.457,+2.214s
8,11,Nelson PiquetPIQ,Lotus Judd,1:28.702,+2.459s
9,16,Ivan CapelliCAP,March Judd,1:28.738,+2.495s
10,29,Michele AlboretoALB,Lola Lamborghini,1:28.819,+2.576s
11,4,Jean AlesiALE,Tyrrell Ford,1:28.847,+2.604s
12,6,Riccardo PatresePAT,Williams Renault,1:29.019,+2.776s
13,3,Jonathan  PalmerPAL,Tyrrell Ford,1:29.083,+2.840s
14,23,Pierluigi MartiniMAR,Minardi Ford,1:29.131,+2.888s
15,10,Eddie  CheeverCHE,Arrows Ford,1:29.334,+3.091s
16,8,Stefano ModenaMOD,Brabham Judd,1:29.347,+3.104s
17,26,Olivier GrouillardGRO,Ligier Ford,1:29.464,+3.221s
18,9,Derek WarwickWAR,Arrows Ford,1:29.544,+3.301s
19,17,Nicola LariniLAR,Osella Ford,1:29.735,+3.492s
20,15,Mauricio GugelminGUG,March Judd,1:30.002,+3.759s
21,22,Andrea de CesarisDEC,Dallara Ford,1:30.053,+3.810s
22,12,Satoru NakajimaNAK,Lotus Judd,1:30.103,+3.860s
23,37,Bertrand GachotGAC,Onyx Ford,1:30.336,+4.093s
24,20,Emanuele PirroPIR,Benetton Ford,1:30.417,+4.174s
25,25,Rene ArnouxARN,Ligier Ford,1:31.439,+5.196s
26,21,Alex CaffiCAF,Dallara Ford,1:31.817,+5.574s
27,38,Christian DannerDAN,Rial Ford,1:33.232,+6.989s
28,28,Gerhard BergerBER,Ferrari,1:38.421,+12.178s
29,39,Pierre Henri RaphanelRAP,Rial Ford,1:40.362,+14.119s
30,24,Luis Perez-SalaPER,Minardi Ford,1:44.878,+18.635s
