Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,McLaren Honda,1:52.532,
2,1,Ayrton SennaSEN,McLaren Honda,1:52.821,+0.289s
3,5,Thierry BoutsenBOU,Williams Renault,1:53.763,+1.231s
4,27,Nigel MansellMAN,Ferrari,1:54.028,+1.496s
5,6,Riccardo PatresePAT,Williams Renault,1:54.622,+2.090s
6,28,Gerhard BergerBER,Ferrari,1:55.137,+2.605s
7,30,Philippe AlliotALL,Lola Lamborghini,1:55.469,+2.937s
8,4,Johnny HerbertHER,Tyrrell Ford,1:55.850,+3.318s
9,7,Martin BrundleBRU,Brabham Judd,1:56.258,+3.726s
10,11,Nelson PiquetPIQ,Lotus Judd,1:56.306,+3.774s
11,15,Mauricio GugelminGUG,March Judd,1:56.390,+3.858s
12,22,Andrea de CesarisDEC,Dallara Ford,1:56.550,+4.018s
13,36,Stefan JohanssonJOH,Onyx Ford,1:56.650,+4.118s
14,24,Luis Perez-SalaPER,Minardi Ford,1:56.664,+4.132s
15,19,Alessandro NanniniNAN,Benetton Ford,1:56.728,+4.196s
16,23,Pierluigi MartiniMAR,Minardi Ford,1:56.778,+4.246s
17,26,Olivier GrouillardGRO,Ligier Ford,1:56.785,+4.253s
18,25,Rene ArnouxARN,Ligier Ford,1:56.816,+4.284s
19,8,Stefano ModenaMOD,Brabham Judd,1:57.053,+4.521s
20,29,Michele AlboretoALB,Lola Lamborghini,1:57.185,+4.653s
21,9,Derek WarwickWAR,Arrows Ford,1:57.233,+4.701s
22,3,Jonathan  PalmerPAL,Tyrrell Ford,1:57.732,+5.200s
23,21,Alex CaffiCAF,Dallara Ford,1:57.845,+5.313s
24,10,Eddie  CheeverCHE,Arrows Ford,1:58.640,+6.108s
25,20,Emanuele PirroPIR,Benetton Ford,1:58.711,+6.179s
26,16,Ivan CapelliCAP,March Judd,1:58.739,+6.207s
27,12,Satoru NakajimaNAK,Lotus Judd,1:58.767,+6.235s
28,37,Bertrand GachotGAC,Onyx Ford,1:59.832,+7.300s
29,38,Christian DannerDAN,Rial Ford,2:01.255,+8.723s
30,39,Pierre Henri RaphanelRAP,Rial Ford,2:03.404,+10.872s
