Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,McLaren Honda,1:23.879,
2,1,Ayrton SennaSEN,McLaren Honda,1:24.876,+0.997s
3,7,Martin BrundleBRU,Brabham Judd,1:25.331,+1.452s
4,27,Nigel MansellMAN,Ferrari,1:25.546,+1.667s
5,21,Alex CaffiCAF,Dallara Ford,1:25.576,+1.697s
6,22,Andrea de CesarisDEC,Dallara Ford,1:26.153,+2.274s
7,9,Derek WarwickWAR,Arrows Ford,1:26.200,+2.321s
8,8,Stefano ModenaMOD,Brabham Judd,1:26.263,+2.384s
9,6,Riccardo PatresePAT,Williams Renault,1:26.403,+2.524s
10,5,Thierry BoutsenBOU,Williams Renault,1:26.598,+2.719s
11,23,Pierluigi MartiniMAR,Minardi Ford,1:26.748,+2.869s
12,15,Mauricio GugelminGUG,March Judd,1:27.218,+3.339s
13,11,Nelson PiquetPIQ,Lotus Judd,1:27.324,+3.445s
14,12,Satoru NakajimaNAK,Lotus Judd,1:27.334,+3.455s
15,4,Michele AlboretoALB,Tyrrell Ford,1:27.363,+3.484s
16,24,Luis Perez-SalaPER,Minardi Ford,1:27.373,+3.494s
17,10,Eddie  CheeverCHE,Arrows Ford,1:27.416,+3.537s
18,3,Jonathan  PalmerPAL,Tyrrell Ford,1:27.540,+3.661s
19,30,Philippe AlliotALL,Lola Lamborghini,1:27.888,+4.009s
20,29,Yannick DalmasDAL,Lola Lamborghini,1:28.056,+4.177s
21,40,Gabriele TarquiniTAR,AGS Ford,1:28.082,+4.203s
22,38,Christian DannerDAN,Rial Ford,1:28.119,+4.240s
23,26,Olivier GrouillardGRO,Ligier Ford,1:28.291,+4.412s
24,20,Johnny HerbertHER,Benetton Ford,1:28.569,+4.690s
25,25,Rene ArnouxARN,Ligier Ford,1:28.575,+4.696s
26,32,Pierre Henri RaphanelRAP,Coloni Ford,1:28.984,+5.105s
27,31,Roberto MorenoMOR,Coloni Ford,1:29.252,+5.373s
28,19,Alessandro NanniniNAN,Benetton Ford,1:29.615,+5.736s
29,16,Ivan CapelliCAP,March Judd,1:29.773,+5.894s
