Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,McLaren Honda,1:18.051,
2,6,Riccardo PatresePAT,Williams Renault,1:18.197,+0.146s
3,19,Alessandro NanniniNAN,Benetton Ford,1:18.223,+0.172s
4,8,Stefano ModenaMOD,Brabham Judd,1:18.371,+0.320s
5,27,Nigel MansellMAN,Ferrari,1:18.427,+0.376s
6,37,Jyrki JarvilehtoJAR,Onyx Ford,1:18.529,+0.478s
7,30,Philippe AlliotALL,Lola Lamborghini,1:18.664,+0.613s
8,17,Nicola LariniLAR,Osella Ford,1:18.821,+0.770s
9,23,Pierluigi MartiniMAR,Minardi Ford,1:19.017,+0.966s
10,7,Martin BrundleBRU,Brabham Judd,1:19.161,+1.110s
11,1,Ayrton SennaSEN,McLaren Honda,1:19.227,+1.176s
12,3,Jonathan  PalmerPAL,Tyrrell Ford,1:19.367,+1.316s
13,4,Jean AlesiALE,Tyrrell Ford,1:19.623,+1.572s
14,22,Andrea de CesarisDEC,Dallara Ford,1:19.629,+1.578s
15,20,Emanuele PirroPIR,Benetton Ford,1:19.724,+1.673s
16,5,Thierry BoutsenBOU,Williams Renault,1:19.772,+1.721s
17,25,Rene ArnouxARN,Ligier Ford,1:20.221,+2.170s
18,9,Derek WarwickWAR,Arrows Ford,1:20.297,+2.246s
19,15,Mauricio GugelminGUG,March Judd,1:20.597,+2.546s
20,12,Satoru NakajimaNAK,Lotus Judd,1:20.613,+2.562s
21,26,Olivier GrouillardGRO,Ligier Ford,1:20.829,+2.778s
22,11,Nelson PiquetPIQ,Lotus Judd,1:20.968,+2.917s
23,10,Eddie  CheeverCHE,Arrows Ford,1:20.991,+2.940s
24,24,Luis Perez-SalaPER,Minardi Ford,1:21.091,+3.040s
25,38,Pierre Henri RaphanelRAP,Rial Ford,1:21.883,+3.832s
26,16,Ivan CapelliCAP,March Judd,1:23.204,+5.153s
27,21,Alex CaffiCAF,Dallara Ford,1:23.486,+5.435s
28,39,Bertrand GachotGAC,Rial Ford,1:25.308,+7.257s
29,18,Piercarlo GhinzaniGHI,Osella Ford,1:33.295,+15.244s
30,28,Gerhard BergerBER,Ferrari,1:35.319,+17.268s
