Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,McLaren Honda,1:18.626,
2,1,Ayrton SennaSEN,McLaren Honda,1:18.639,+0.013s
3,27,Nigel MansellMAN,Ferrari,1:19.146,+0.520s
4,6,Riccardo PatresePAT,Williams Renault,1:19.951,+1.325s
5,16,Ivan CapelliCAP,March Judd,1:20.428,+1.802s
6,36,Stefan JohanssonJOH,Onyx Ford,1:20.566,+1.940s
7,19,Alessandro NanniniNAN,Benetton Ford,1:20.613,+1.987s
8,11,Nelson PiquetPIQ,Lotus Judd,1:20.784,+2.158s
9,4,Michele AlboretoALB,Tyrrell Ford,1:20.831,+2.205s
10,8,Stefano ModenaMOD,Brabham Judd,1:20.956,+2.330s
11,23,Pierluigi MartiniMAR,Minardi Ford,1:20.980,+2.354s
12,28,Gerhard BergerBER,Ferrari,1:21.000,+2.374s
13,26,Olivier GrouillardGRO,Ligier Ford,1:21.030,+2.404s
14,40,Gabriele TarquiniTAR,AGS Ford,1:21.119,+2.493s
15,9,Derek WarwickWAR,Arrows Ford,1:21.152,+2.526s
16,5,Thierry BoutsenBOU,Williams Renault,1:21.158,+2.532s
17,12,Satoru NakajimaNAK,Lotus Judd,1:21.199,+2.573s
18,24,Luis Perez-SalaPER,Minardi Ford,1:21.356,+2.730s
19,22,Andrea de CesarisDEC,Dallara Ford,1:21.642,+3.016s
20,10,Eddie  CheeverCHE,Arrows Ford,1:21.703,+3.077s
21,21,Alex CaffiCAF,Dallara Ford,1:21.760,+3.134s
22,29,Yannick DalmasDAL,Lola Lamborghini,1:21.774,+3.148s
23,38,Christian DannerDAN,Rial Ford,1:21.854,+3.228s
24,25,Rene ArnouxARN,Ligier Ford,1:21.972,+3.346s
25,20,Johnny HerbertHER,Benetton Ford,1:22.151,+3.525s
26,7,Martin BrundleBRU,Brabham Judd,1:22.371,+3.745s
27,15,Mauricio GugelminGUG,March Judd,1:22.634,+4.008s
28,3,Jonathan  PalmerPAL,Tyrrell Ford,1:22.677,+4.051s
29,30,Philippe AlliotALL,Lola Lamborghini,1:22.949,+4.323s
30,31,Roberto MorenoMOR,Coloni Ford,1:26.255,+7.629s
