Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,McLaren Honda,1:43.593,
2,5,Thierry BoutsenBOU,Williams Renault,1:44.483,+0.890s
3,27,Nigel MansellMAN,Ferrari,1:44.591,+0.998s
4,19,Alessandro NanniniNAN,Benetton Ford,1:44.994,+1.401s
5,28,Gerhard BergerBER,Ferrari,1:46.095,+2.502s
6,1,Ayrton SennaSEN,McLaren Honda,1:46.289,+2.696s
7,11,Nelson PiquetPIQ,Lotus Judd,1:47.076,+3.483s
8,12,Satoru NakajimaNAK,Lotus Judd,1:47.307,+3.714s
9,4,Jean AlesiALE,Tyrrell Ford,1:47.574,+3.981s
10,8,Stefano ModenaMOD,Brabham Judd,1:47.576,+3.983s
11,23,Pierluigi MartiniMAR,Minardi Ford,1:47.644,+4.051s
12,21,Alex CaffiCAF,Dallara Ford,1:47.996,+4.403s
13,7,Martin BrundleBRU,Brabham Judd,1:48.143,+4.550s
14,15,Mauricio GugelminGUG,March Judd,1:48.277,+4.684s
15,26,Olivier GrouillardGRO,Ligier Ford,1:48.496,+4.903s
16,10,Eddie  CheeverCHE,Arrows Ford,1:48.613,+5.020s
17,20,Emanuele PirroPIR,Benetton Ford,1:48.696,+5.103s
18,6,Riccardo PatresePAT,Williams Renault,1:48.712,+5.119s
19,30,Philippe AlliotALL,Lola Lamborghini,1:48.854,+5.261s
20,29,Michele AlboretoALB,Lola Lamborghini,1:49.033,+5.440s
21,25,Rene ArnouxARN,Ligier Ford,1:49.256,+5.663s
22,36,Stefan JohanssonJOH,Onyx Ford,1:49.326,+5.733s
23,22,Andrea de CesarisDEC,Dallara Ford,1:49.483,+5.890s
24,9,Derek WarwickWAR,Arrows Ford,1:49.785,+6.192s
25,16,Ivan CapelliCAP,March Judd,1:49.834,+6.241s
26,24,Luis Perez-SalaPER,Minardi Ford,1:50.356,+6.763s
27,3,Jonathan  PalmerPAL,Tyrrell Ford,1:50.903,+7.310s
28,39,Volker WeidlerWEI,Rial Ford,1:50.906,+7.313s
29,37,Bertrand GachotGAC,Onyx Ford,1:51.048,+7.455s
30,38,Christian DannerDAN,Rial Ford,1:52.032,+8.439s
