Pos,No,Driver,Car,Time,Gap
1,1,Ayrton SennaSEN,McLaren Honda,1:40.288,
2,2,Alain ProstPRO,McLaren Honda,1:41.390,+1.102s
3,28,Gerhard BergerBER,Ferrari,1:41.485,+1.197s
4,4,Jean AlesiALE,Tyrrell Ford,1:42.023,+1.735s
5,27,Nigel MansellMAN,Ferrari,1:42.290,+2.002s
6,8,Stefano ModenaMOD,Brabham Judd,1:42.357,+2.069s
7,30,Philippe AlliotALL,Lola Lamborghini,1:42.446,+2.158s
8,7,Martin BrundleBRU,Brabham Judd,1:42.466,+2.178s
9,6,Riccardo PatresePAT,Williams Renault,1:42.575,+2.287s
10,19,Alessandro NanniniNAN,Benetton Ford,1:42.743,+2.455s
11,17,Nicola LariniLAR,Osella Ford,1:42.865,+2.577s
12,11,Nelson PiquetPIQ,Lotus Judd,1:42.883,+2.595s
13,23,Paolo BarillaBAR,Minardi Ford,1:43.200,+2.912s
14,5,Thierry BoutsenBOU,Williams Renault,1:43.277,+2.989s
15,26,Olivier GrouillardGRO,Ligier Ford,1:43.405,+3.117s
16,21,Alex CaffiCAF,Dallara Ford,1:43.412,+3.124s
17,12,Satoru NakajimaNAK,Lotus Judd,1:43.617,+3.329s
18,22,Andrea de CesarisDEC,Dallara Ford,1:43.683,+3.395s
19,3,Jonathan  PalmerPAL,Tyrrell Ford,1:43.760,+3.472s
20,24,Luis Perez-SalaPER,Minardi Ford,1:43.816,+3.528s
21,10,Eddie  CheeverCHE,Arrows Ford,1:44.074,+3.786s
22,20,Emanuele PirroPIR,Benetton Ford,1:44.365,+4.077s
23,9,Derek WarwickWAR,Arrows Ford,1:44.527,+4.239s
24,25,Rene ArnouxARN,Ligier Ford,1:44.949,+4.661s
25,16,Ivan CapelliCAP,March Judd,1:45.266,+4.978s
26,34,Bernd SchneiderSCH,Zakspeed Yamaha,1:45.671,+5.383s
27,15,Mauricio GugelminGUG,March Judd,1:45.878,+5.590s
28,29,Michele AlboretoALB,Lola Lamborghini,1:46.442,+6.154s
29,38,Pierre Henri RaphanelRAP,Rial Ford,1:47.884,+7.596s
30,39,Bertrand GachotGAC,Rial Ford,1:48.307,+8.019s
