Pos,No,Driver,Car,Time,Gap
1,27,Nigel MansellMAN,Ferrari,1:07.782,
2,1,Ayrton SennaSEN,McLaren Honda,1:07.956,+0.174s
3,2,Alain ProstPRO,McLaren Honda,1:07.971,+0.189s
4,19,Alessandro NanniniNAN,Benetton Ford,1:08.179,+0.397s
5,28,Gerhard BergerBER,Ferrari,1:08.420,+0.638s
6,5,Thierry BoutsenBOU,Williams Renault,1:08.535,+0.753s
7,6,Riccardo PatresePAT,Williams Renault,1:08.916,+1.134s
8,3,Jonathan  PalmerPAL,Tyrrell Ford,1:09.450,+1.668s
9,29,Eric BernardBER,Lola Lamborghini,1:09.541,+1.759s
10,20,Emanuele PirroPIR,Benetton Ford,1:09.852,+2.070s
11,23,Pierluigi MartiniMAR,Minardi Ford,1:10.104,+2.322s
12,36,Stefan JohanssonJOH,Onyx Ford,1:10.293,+2.511s
13,40,Gabriele TarquiniTAR,AGS Ford,1:10.464,+2.682s
14,37,Bertrand GachotGAC,Onyx Ford,1:10.518,+2.736s
15,24,Luis Perez-SalaPER,Minardi Ford,1:10.580,+2.798s
16,8,Stefano ModenaMOD,Brabham Judd,1:10.742,+2.960s
17,11,Nelson PiquetPIQ,Lotus Judd,1:10.769,+2.987s
18,25,Rene ArnouxARN,Ligier Ford,1:10.834,+3.052s
19,15,Mauricio GugelminGUG,March Judd,1:10.929,+3.147s
20,16,Ivan CapelliCAP,March Judd,1:10.971,+3.189s
21,21,Alex CaffiCAF,Dallara Ford,1:11.006,+3.224s
22,9,Martin DonnellyDON,Arrows Ford,1:11.133,+3.351s
23,26,Olivier GrouillardGRO,Ligier Ford,1:11.259,+3.477s
24,12,Satoru NakajimaNAK,Lotus Judd,1:11.590,+3.808s
25,4,Jean AlesiALE,Tyrrell Ford,1:11.701,+3.919s
26,31,Roberto MorenoMOR,Coloni Ford,1:11.870,+4.088s
27,10,Eddie  CheeverCHE,Arrows Ford,1:12.213,+4.431s
28,22,Andrea de CesarisDEC,Dallara Ford,1:12.261,+4.479s
29,30,Philippe AlliotALL,Lola Lamborghini,1:12.309,+4.527s
30,38,Christian DannerDAN,Rial Ford,1:12.989,+5.207s
