Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,McLaren Honda,1:10.214,
2,27,Nigel MansellMAN,Ferrari,1:10.344,+0.130s
3,6,Riccardo PatresePAT,Williams Renault,1:11.174,+0.960s
4,28,Gerhard BergerBER,Ferrari,1:11.354,+1.140s
5,5,Thierry BoutsenBOU,Williams Renault,1:11.491,+1.277s
6,8,Stefano ModenaMOD,Brabham Judd,1:11.715,+1.501s
7,23,Pierluigi MartiniMAR,Minardi Ford,1:11.866,+1.652s
8,24,Luis Perez-SalaPER,Minardi Ford,1:11.975,+1.761s
9,7,Martin BrundleBRU,Brabham Judd,1:12.037,+1.823s
10,26,Olivier GrouillardGRO,Ligier Ford,1:12.056,+1.842s
11,17,Nicola LariniLAR,Osella Ford,1:12.329,+2.115s
12,9,Derek WarwickWAR,Arrows Ford,1:12.512,+2.298s
13,15,Mauricio GugelminGUG,March Judd,1:12.529,+2.315s
14,12,Satoru NakajimaNAK,Lotus Judd,1:12.695,+2.481s
15,37,Bertrand GachotGAC,Onyx Ford,1:12.709,+2.495s
16,11,Nelson PiquetPIQ,Lotus Judd,1:12.715,+2.501s
17,30,Philippe AlliotALL,Lola Lamborghini,1:12.865,+2.651s
18,1,Ayrton SennaSEN,McLaren Honda,1:12.929,+2.715s
19,29,Eric BernardBER,Lola Lamborghini,1:13.030,+2.816s
20,3,Jonathan  PalmerPAL,Tyrrell Ford,1:13.275,+3.061s
21,16,Ivan CapelliCAP,March Judd,1:13.450,+3.236s
22,31,Roberto MorenoMOR,Coloni Ford,1:13.482,+3.268s
23,4,Jean AlesiALE,Tyrrell Ford,1:13.505,+3.291s
24,25,Rene ArnouxARN,Ligier Ford,1:13.516,+3.302s
25,20,Emanuele PirroPIR,Benetton Ford,1:13.822,+3.608s
26,10,Eddie  CheeverCHE,Arrows Ford,1:13.876,+3.662s
27,22,Andrea de CesarisDEC,Dallara Ford,1:14.163,+3.949s
28,19,Alessandro NanniniNAN,Benetton Ford,1:14.341,+4.127s
29,40,Gabriele TarquiniTAR,AGS Ford,1:14.405,+4.191s
30,38,Christian DannerDAN,Rial Ford,1:14.982,+4.768s
