Pos,No,Driver,Car,Time,Gap
1,27,Nigel MansellMAN,Ferrari,1:16.735,
2,1,Ayrton SennaSEN,McLaren Honda,1:16.871,+0.136s
3,23,Pierluigi MartiniMAR,Minardi Ford,1:16.919,+0.184s
4,28,Gerhard BergerBER,Ferrari,1:17.374,+0.639s
5,7,Martin BrundleBRU,Brabham Judd,1:17.566,+0.831s
6,6,Riccardo PatresePAT,Williams Renault,1:17.610,+0.875s
7,36,Stefan JohanssonJOH,Onyx Ford,1:17.696,+0.961s
8,2,Alain ProstPRO,McLaren Honda,1:17.704,+0.969s
9,5,Thierry BoutsenBOU,Williams Renault,1:17.850,+1.115s
10,15,Mauricio GugelminGUG,March Judd,1:17.974,+1.239s
11,8,Stefano ModenaMOD,Brabham Judd,1:18.173,+1.438s
12,12,Satoru NakajimaNAK,Lotus Judd,1:18.370,+1.635s
13,10,Eddie  CheeverCHE,Arrows Ford,1:18.445,+1.710s
14,11,Nelson PiquetPIQ,Lotus Judd,1:18.839,+2.104s
15,19,Alessandro NanniniNAN,Benetton Ford,1:18.953,+2.218s
16,30,Philippe AlliotALL,Lola Lamborghini,1:19.135,+2.400s
17,21,Alex CaffiCAF,Dallara Ford,1:19.256,+2.521s
18,22,Andrea de CesarisDEC,Dallara Ford,1:19.350,+2.615s
19,26,Olivier GrouillardGRO,Ligier Ford,1:19.481,+2.746s
20,29,Michele AlboretoALB,Lola Lamborghini,1:19.558,+2.823s
21,9,Derek WarwickWAR,Arrows Ford,1:19.576,+2.841s
22,25,Rene ArnouxARN,Ligier Ford,1:19.626,+2.891s
23,4,Johnny HerbertHER,Tyrrell Ford,1:19.766,+3.031s
24,3,Jonathan  PalmerPAL,Tyrrell Ford,1:19.892,+3.157s
25,16,Ivan CapelliCAP,March Judd,1:20.281,+3.546s
26,20,Emanuele PirroPIR,Benetton Ford,1:21.365,+4.630s
27,31,Roberto MorenoMOR,Coloni Ford,1:21.889,+5.154s
28,39,Pierre Henri RaphanelRAP,Rial Ford,1:22.335,+5.600s
29,24,Luis Perez-SalaPER,Minardi Ford,1:23.495,+6.760s
30,38,Christian DannerDAN,Rial Ford,1:44.071,+27.336s
