Pos,No,Driver,Car,Time,Gap
1,19,Alessandro NanniniNAN,Benetton Ford,1:21.231,
2,21,Alex CaffiCAF,Dallara Ford,1:21.291,+0.060s
3,6,Riccardo PatresePAT,Williams Renault,1:21.478,+0.247s
4,28,Gerhard BergerBER,Ferrari,1:21.907,+0.676s
5,5,Thierry BoutsenBOU,Williams Renault,1:21.919,+0.688s
6,1,Ayrton SennaSEN,McLaren Honda,1:21.977,+0.746s
7,2,Alain ProstPRO,McLaren Honda,1:22.066,+0.835s
8,36,Stefan JohanssonJOH,Onyx Ford,1:22.247,+1.016s
9,7,Martin BrundleBRU,Brabham Judd,1:22.278,+1.047s
10,27,Nigel MansellMAN,Ferrari,1:22.373,+1.142s
11,22,Andrea de CesarisDEC,Dallara Ford,1:22.535,+1.304s
12,20,Emanuele PirroPIR,Benetton Ford,1:22.538,+1.307s
13,15,Mauricio GugelminGUG,March Judd,1:22.641,+1.410s
14,10,Eddie  CheeverCHE,Arrows Ford,1:22.972,+1.741s
15,12,Satoru NakajimaNAK,Lotus Judd,1:22.995,+1.764s
16,9,Derek WarwickWAR,Arrows Ford,1:23.066,+1.835s
17,16,Ivan CapelliCAP,March Judd,1:23.076,+1.845s
18,8,Stefano ModenaMOD,Brabham Judd,1:23.103,+1.872s
19,4,Jean AlesiALE,Tyrrell Ford,1:23.142,+1.911s
20,11,Nelson PiquetPIQ,Lotus Judd,1:23.305,+2.074s
21,18,Piercarlo GhinzaniGHI,Osella Ford,1:23.752,+2.521s
22,23,Pierluigi MartiniMAR,Minardi Ford,1:23.799,+2.568s
23,37,Bertrand GachotGAC,Onyx Ford,1:23.986,+2.755s
24,3,Jonathan  PalmerPAL,Tyrrell Ford,1:23.995,+2.764s
25,26,Olivier GrouillardGRO,Ligier Ford,1:24.376,+3.145s
26,29,Michele AlboretoALB,Lola Lamborghini,1:25.330,+4.099s
27,38,Christian DannerDAN,Rial Ford,1:25.765,+4.534s
28,39,Volker WeidlerWEI,Rial Ford,1:26.172,+4.941s
29,24,Luis Perez-SalaPER,Minardi Ford,1:27.186,+5.955s
