Pos,No,Driver,Car,Time,Gap,Laps
1,77,Valtteri BottasBOT,Mercedes,1:16.989,,28
2,44,Lewis HamiltonHAM,Mercedes,1:17.196,+0.207s,29
3,33,Max VerstappenVER,Red Bull Racing Honda,1:17.235,+0.246s,25
4,23,Alexander AlbonALB,Red Bull Racing Honda,1:17.971,+0.982s,28
5,3,Daniel RicciardoRIC,Renault,1:18.039,+1.050s,32
6,31,Esteban OconOCO,Renault,1:18.115,+1.126s,29
7,11,Sergio PerezPER,Racing Point BWT Mercedes,1:18.198,+1.209s,34
8,10,Pierre GaslyGAS,AlphaTauri Honda,1:18.244,+1.255s,30
9,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:18.385,+1.396s,38
10,16,Charles LeclercLEC,Ferrari,1:18.400,+1.411s,27
11,18,Lance StrollSTR,Racing Point BWT Mercedes,1:18.462,+1.473s,37
12,5,Sebastian VettelVET,Ferrari,1:18.498,+1.509s,39
13,55,Carlos SainzSAI,McLaren Renault,1:18.651,+1.662s,32
14,4,Lando NorrisNOR,McLaren Renault,1:18.658,+1.669s,9
15,26,Daniil KvyatKVY,AlphaTauri Honda,1:18.736,+1.747s,33
16,63,George RussellRUS,Williams Mercedes,1:18.843,+1.854s,33
17,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:18.944,+1.955s,35
18,6,Nicholas LatifiLAT,Williams Mercedes,1:18.983,+1.994s,31
19,20,Kevin MagnussenMAG,Haas Ferrari,1:19.113,+2.124s,32
20,8,Romain GrosjeanGRO,Haas Ferrari,1:19.257,+2.268s,5
