Pos,No,Driver,Car,Time,Gap,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:25.606,,22
2,77,Valtteri BottasBOT,Mercedes,1:25.782,+0.176s,22
3,3,Daniel RicciardoRIC,Renault,1:26.421,+0.815s,29
4,33,Max VerstappenVER,Red Bull Racing Honda,1:26.437,+0.831s,15
5,18,Lance StrollSTR,Racing Point BWT Mercedes,1:26.501,+0.895s,24
6,27,Nico HulkenbergHUL,Racing Point BWT Mercedes,1:26.746,+1.140s,26
7,16,Charles LeclercLEC,Ferrari,1:26.812,+1.206s,32
8,4,Lando NorrisNOR,McLaren Renault,1:26.867,+1.261s,26
9,55,Carlos SainzSAI,McLaren Renault,1:26.918,+1.312s,24
10,31,Esteban OconOCO,Renault,1:26.928,+1.322s,25
11,23,Alexander AlbonALB,Red Bull Racing Honda,1:26.960,+1.354s,25
12,26,Daniil KvyatKVY,AlphaTauri Honda,1:27.002,+1.396s,33
13,10,Pierre GaslyGAS,AlphaTauri Honda,1:27.128,+1.522s,31
14,5,Sebastian VettelVET,Ferrari,1:27.198,+1.592s,30
15,8,Romain GrosjeanGRO,Haas Ferrari,1:27.294,+1.688s,28
16,63,George RussellRUS,Williams Mercedes,1:27.320,+1.714s,31
17,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:27.535,+1.929s,30
18,20,Kevin MagnussenMAG,Haas Ferrari,1:27.582,+1.976s,28
19,6,Nicholas LatifiLAT,Williams Mercedes,1:27.683,+2.077s,32
20,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:27.955,+2.349s,26
