Pos,No,Driver,Car,Time,Gap,Laps
1,77,Valtteri BottasBOT,Mercedes,1:33.519,,37
2,44,Lewis HamiltonHAM,Mercedes,1:33.786,+0.267s,33
3,3,Daniel RicciardoRIC,Renault,1:34.577,+1.058s,27
4,55,Carlos SainzSAI,McLaren Renault,1:34.723,+1.204s,36
5,4,Lando NorrisNOR,McLaren Renault,1:34.847,+1.328s,33
6,11,Sergio PerezPER,Racing Point BWT Mercedes,1:34.890,+1.371s,35
7,33,Max VerstappenVER,Red Bull Racing Honda,1:35.048,+1.529s,30
8,16,Charles LeclercLEC,Ferrari,1:35.052,+1.533s,35
9,31,Esteban OconOCO,Renault,1:35.139,+1.620s,28
10,5,Sebastian VettelVET,Ferrari,1:35.183,+1.664s,35
11,10,Pierre GaslyGAS,AlphaTauri Honda,1:35.210,+1.691s,35
12,23,Alexander AlbonALB,Red Bull Racing Honda,1:35.242,+1.723s,31
13,26,Daniil KvyatKVY,AlphaTauri Honda,1:35.461,+1.942s,37
14,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:35.516,+1.997s,33
15,6,Nicholas LatifiLAT,Williams Mercedes,1:35.563,+2.044s,31
16,63,George RussellRUS,Williams Mercedes,1:35.575,+2.056s,30
17,18,Lance StrollSTR,Racing Point BWT Mercedes,1:35.627,+2.108s,34
18,20,Kevin MagnussenMAG,Haas Ferrari,1:35.729,+2.210s,32
19,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:36.053,+2.534s,36
20,8,Romain GrosjeanGRO,Haas Ferrari,1:36.858,+3.339s,32
