Pos,No,Driver,Car,Time,Gap,Laps
1,77,Valtteri BottasBOT,Mercedes,1:17.940,,32
2,33,Max VerstappenVER,Red Bull Racing Honda,1:18.535,+0.595s,34
3,4,Lando NorrisNOR,McLaren Renault,1:18.743,+0.803s,35
4,16,Charles LeclercLEC,Ferrari,1:18.838,+0.898s,34
5,55,Carlos SainzSAI,McLaren Renault,1:19.113,+1.173s,32
6,5,Sebastian VettelVET,Ferrari,1:19.175,+1.235s,34
7,10,Pierre GaslyGAS,AlphaTauri Honda,1:19.178,+1.238s,26
8,44,Lewis HamiltonHAM,Mercedes,1:19.308,+1.368s,27
9,31,Esteban OconOCO,Renault,1:19.496,+1.556s,32
10,23,Alexander AlbonALB,Red Bull Racing Honda,1:19.643,+1.703s,37
11,63,George RussellRUS,Williams Mercedes,1:19.821,+1.881s,33
12,11,Sergio PerezPER,Racing Point BWT Mercedes,1:19.901,+1.961s,34
13,3,Daniel RicciardoRIC,Renault,1:19.987,+2.047s,28
14,6,Nicholas LatifiLAT,Williams Mercedes,1:20.465,+2.525s,33
15,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:20.490,+2.550s,34
16,20,Kevin MagnussenMAG,Haas Ferrari,1:20.680,+2.740s,29
17,26,Daniil KvyatKVY,AlphaTauri Honda,1:20.729,+2.789s,33
18,8,Romain GrosjeanGRO,Haas Ferrari,1:20.867,+2.927s,32
19,18,Lance StrollSTR,Racing Point BWT Mercedes,1:20.983,+3.043s,26
20,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:21.396,+3.456s,34
