Pos,No,Driver,Car,Time,Gap,Laps
1,63,George RussellRUS,Mercedes,54.713,,48
2,33,Max VerstappenVER,Red Bull Racing Honda,54.841,+0.128s,43
3,11,Sergio PerezPER,Racing Point BWT Mercedes,54.866,+0.153s,52
4,31,Esteban OconOCO,Renault,54.940,+0.227s,50
5,23,Alexander AlbonALB,Red Bull Racing Honda,55.036,+0.323s,42
6,26,Daniil KvyatKVY,AlphaTauri Honda,55.068,+0.355s,58
7,18,Lance StrollSTR,Racing Point BWT Mercedes,55.104,+0.391s,44
8,3,Daniel RicciardoRIC,Renault,55.124,+0.411s,47
9,10,Pierre GaslyGAS,AlphaTauri Honda,55.133,+0.420s,48
10,55,Carlos SainzSAI,McLaren Renault,55.258,+0.545s,39
11,77,Valtteri BottasBOT,Mercedes,55.321,+0.608s,52
12,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,55.484,+0.771s,54
13,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,55.533,+0.820s,57
14,20,Kevin MagnussenMAG,Haas Ferrari,55.738,+1.025s,49
15,6,Nicholas LatifiLAT,Williams Mercedes,55.784,+1.071s,52
16,5,Sebastian VettelVET,Ferrari,55.830,+1.117s,43
17,4,Lando NorrisNOR,McLaren Renault,56.031,+1.318s,14
18,51,Pietro FittipaldiFIT,Haas Ferrari,56.110,+1.397s,56
19,89,Jack AitkenAIT,Williams Mercedes,56.260,+1.547s,58
20,16,Charles LeclercLEC,Ferrari,,,2
