Pos,No,Driver,Car,Time
1,6,Mark WebberWEB,RBR Renault,1:13.826
2,11,Robert KubicaKUB,Renault,1:14.120
3,5,Sebastian VettelVET,RBR Renault,1:14.227
4,7,Felipe MassaMAS,Ferrari,1:14.283
5,2,Lewis HamiltonHAM,McLaren Mercedes,1:14.432
6,4,Nico RosbergROS,Mercedes,1:14.544
7,3,Michael SchumacherMSC,Mercedes,1:14.590
8,1,Jenson ButtonBUT,McLaren Mercedes,1:14.637
9,9,Rubens BarrichelloBAR,Williams Cosworth,1:14.901
10,15,Vitantonio LiuzziLIU,Force India Mercedes,1:15.170
11,10,Nico HulkenbergHUL,Williams Cosworth,1:15.317
12,14,Adrian SutilSUT,Force India Mercedes,1:15.318
13,16,Sebastien BuemiBUE,STR Ferrari,1:15.413
14,12,Vitaly PetrovPET,Renault,1:15.576
15,22,Pedro de la RosaDLR,Sauber Ferrari,1:15.692
16,23,Kamui KobayashiKOB,Sauber Ferrari,1:15.992
17,17,Jaime AlguersuariALG,STR Ferrari,1:16.176
18,19,Heikki KovalainenKOV,Lotus Cosworth,1:17.094
19,18,Jarno TrulliTRU,Lotus Cosworth,1:17.134
20,24,Timo GlockGLO,Virgin Cosworth,1:17.377
21,25,Lucas di GrassiDIG,Virgin Cosworth,1:17.864
22,21,Bruno SennaSEN,HRT Cosworth,1:18.509
23,20,Karun ChandhokCHD,HRT Cosworth,1:19.559
