Pos,No,Driver,Car,Time
1,8,Fernando AlonsoALO,Ferrari,1:45.390
2,5,Sebastian VettelVET,RBR Renault,1:45.457
3,2,Lewis HamiltonHAM,McLaren Mercedes,1:45.571
4,1,Jenson ButtonBUT,McLaren Mercedes,1:45.944
5,6,Mark WebberWEB,RBR Renault,1:45.977
6,9,Rubens BarrichelloBAR,Williams Cosworth,1:46.236
7,4,Nico RosbergROS,Mercedes,1:46.443
8,11,Robert KubicaKUB,Renault,1:46.593
9,3,Michael SchumacherMSC,Mercedes,1:46.702
10,23,Kamui KobayashiKOB,Sauber Ferrari,1:47.884
11,17,Jaime AlguersuariALG,STR Ferrari,1:47.666
12,12,Vitaly PetrovPET,Renault,1:48.165
13,16,Sebastien BuemiBUE,STR Ferrari,1:48.502
14,22,Nick HeidfeldHEI,Sauber Ferrari,1:48.557
15,14,Adrian SutilSUT,Force India Mercedes,1:48.899
16,15,Vitantonio LiuzziLIU,Force India Mercedes,1:48.961
17,10,Nico HulkenbergHUL,Williams Cosworth,1:47.674
18,24,Timo GlockGLO,Virgin Cosworth,1:50.721
19,19,Heikki KovalainenKOV,Lotus Cosworth,1:50.915
20,25,Lucas di GrassiDIG,Virgin Cosworth,1:51.107
21,18,Jarno TrulliTRU,Lotus Cosworth,1:51.641
22,20,Christian KlienKLI,HRT Cosworth,1:52.946
23,21,Bruno SennaSEN,HRT Cosworth,1:54.174
24,7,Felipe MassaMAS,Ferrari,
