Pos,No,Driver,Car,Time
1,6,Mark WebberWEB,RBR Renault,1:26.295
2,2,Lewis HamiltonHAM,McLaren Mercedes,1:26.433
3,5,Sebastian VettelVET,RBR Renault,1:26.760
4,1,Jenson ButtonBUT,McLaren Mercedes,1:26.781
5,3,Michael SchumacherMSC,Mercedes,1:26.857
6,4,Nico RosbergROS,Mercedes,1:26.952
7,11,Robert KubicaKUB,Renault,1:27.039
8,7,Felipe MassaMAS,Ferrari,1:27.082
9,12,Vitaly PetrovPET,Renault,1:27.430
10,23,Kamui KobayashiKOB,Sauber Ferrari,1:28.122
11,14,Adrian SutilSUT,Force India Mercedes,1:27.525
12,8,Fernando AlonsoALO,Ferrari,1:27.612
13,22,Pedro de la RosaDLR,Sauber Ferrari,1:27.879
14,16,Sebastien BuemiBUE,STR Ferrari,1:28.273
15,9,Rubens BarrichelloBAR,Williams Cosworth,1:28.392
16,17,Jaime AlguersuariALG,STR Ferrari,1:28.540
17,10,Nico HulkenbergHUL,Williams Cosworth,1:28.841
18,15,Vitantonio LiuzziLIU,Force India Mercedes,1:28.958
19,18,Jarno TrulliTRU,Lotus Cosworth,1:30.237
20,19,Heikki KovalainenKOV,Lotus Cosworth,1:30.519
21,24,Timo GlockGLO,Virgin Cosworth,1:30.744
22,21,Bruno SennaSEN,HRT Cosworth,1:31.266
23,25,Lucas di GrassiDIG,Virgin Cosworth,1:31.989
24,20,Karun ChandhokCHD,HRT Cosworth,1:32.060
