Pos,No,Driver,Car,Time
1,5,Sebastian VettelVET,RBR Renault,1:35.585
2,6,Mark WebberWEB,RBR Renault,1:35.659
3,8,Fernando AlonsoALO,Ferrari,1:35.766
4,2,Lewis HamiltonHAM,McLaren Mercedes,1:36.062
5,4,Nico RosbergROS,Mercedes,1:36.535
6,7,Felipe MassaMAS,Ferrari,1:36.571
7,1,Jenson ButtonBUT,McLaren Mercedes,1:36.731
8,11,Robert KubicaKUB,Renault,1:36.824
9,3,Michael SchumacherMSC,Mercedes,1:36.950
10,9,Rubens BarrichelloBAR,Williams Cosworth,1:36.998
11,10,Nico HulkenbergHUL,Williams Cosworth,1:37.620
12,23,Kamui KobayashiKOB,Sauber Ferrari,1:37.643
13,22,Nick HeidfeldHEI,Sauber Ferrari,1:37.715
14,14,Adrian SutilSUT,Force India Mercedes,1:37.783
15,17,Jaime AlguersuariALG,STR Ferrari,1:37.853
16,16,Sebastien BuemiBUE,STR Ferrari,1:38.594
17,15,Vitantonio LiuzziLIU,Force India Mercedes,1:38.955
18,18,Jarno TrulliTRU,Lotus Cosworth,1:40.521
19,24,Timo GlockGLO,Virgin Cosworth,1:40.748
20,12,Vitaly PetrovPET,Renault,1:37.799
21,19,Heikki KovalainenKOV,Lotus Cosworth,1:41.768
22,25,Lucas di GrassiDIG,Virgin Cosworth,1:42.325
23,20,Sakon YamamotoYAM,HRT Cosworth,1:42.444
24,21,Bruno SennaSEN,HRT Cosworth,1:43.283
