Pos,No,Driver,Car,Time,Gap,Laps
1,5,Michael SchumacherMSC,Ferrari,1:10.760,,15
2,6,Felipe MassaMAS,Ferrari,1:11.039,+0.279s,8
3,2,Giancarlo FisichellaFIS,Renault,1:11.940,+1.180s,15
4,16,Nick HeidfeldHEI,Sauber BMW,1:12.049,+1.289s,18
5,11,Rubens BarrichelloBAR,Honda,1:12.149,+1.389s,13
6,1,Fernando AlonsoALO,Renault,1:12.202,+1.442s,15
7,12,Jenson ButtonBUT,Honda,1:12.269,+1.509s,18
8,17,Jacques VilleneuveVIL,Sauber BMW,1:12.327,+1.567s,13
9,3,Kimi RäikkönenRAI,McLaren Mercedes,1:12.569,+1.809s,13
10,4,Juan Pablo MontoyaMOY,McLaren Mercedes,1:12.592,+1.832s,10
11,20,Vitantonio LiuzziLIU,STR Cosworth,1:12.675,+1.915s,18
12,9,Mark WebberWEB,Williams Cosworth,1:12.904,+2.144s,15
13,18,Tiago MonteiroMON,MF1 Toyota,1:12.913,+2.153s,18
14,8,Jarno TrulliTRU,Toyota,1:13.091,+2.331s,21
15,7,Ralf SchumacherRSC,Toyota,1:13.101,+2.341s,19
16,21,Scott SpeedSPE,STR Cosworth,1:13.103,+2.343s,17
17,15,Christian KlienKLI,RBR Ferrari,1:13.113,+2.353s,15
18,19,Christijan AlbersALB,MF1 Toyota,1:13.172,+2.412s,19
19,10,Nico RosbergROS,Williams Cosworth,1:13.230,+2.470s,12
20,14,David CoulthardCOU,RBR Ferrari,1:13.364,+2.604s,17
21,22,Takuma SatoSAT,Super Aguri Honda,1:13.806,+3.046s,16
22,23,Franck MontagnyMON,Super Aguri Honda,1:14.454,+3.694s,10
