Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Fernando AlonsoALO,McLaren Mercedes,60,2:06:26.358,10
2,5,Felipe MassaMAS,Ferrari,60,+8.155s,8
3,15,Mark WebberWEB,Red Bull Renault,60,+65.674s,6
4,17,Alexander WurzWUR,Williams Toyota,60,+65.937s,5
5,14,David CoulthardCOU,Red Bull Renault,60,+73.656s,4
6,9,Nick HeidfeldHEI,Sauber BMW,60,+80.298s,3
7,10,Robert KubicaKUB,Sauber BMW,60,+82.415s,2
8,4,Heikki KovalainenKOV,Renault,59,+1 lap,1
9,2,Lewis HamiltonHAM,McLaren Mercedes,59,+1 lap,0
10,3,Giancarlo FisichellaFIS,Renault,59,+1 lap,0
11,8,Rubens BarrichelloBAR,Honda,59,+1 lap,0
12,23,Anthony DavidsonDAV,Super Aguri Honda,59,+1 lap,0
13,12,Jarno TrulliTRU,Toyota,59,+1 lap,0
NC,6,Kimi RäikkönenRAI,Ferrari,34,DNF,0
NC,22,Takuma SatoSAT,Super Aguri Honda,19,DNF,0
NC,11,Ralf SchumacherRSC,Toyota,18,DNF,0
NC,21,Markus WinkelhockWIN,Spyker Ferrari,13,DNF,0
NC,7,Jenson ButtonBUT,Honda,2,DNF,0
NC,20,Adrian SutilSUT,Spyker Ferrari,2,DNF,0
NC,16,Nico RosbergROS,Williams Toyota,2,DNF,0
NC,19,Scott SpeedSPE,STR Ferrari,2,DNF,0
NC,18,Vitantonio LiuzziLIU,STR Ferrari,2,DNF,0
