Pos,No,Driver,Car,Laps,Time/retired,Pts
1,6,Kimi RäikkönenRAI,Ferrari,56,1:37:58.395,10
2,1,Fernando AlonsoALO,McLaren Mercedes,56,+9.806s,8
3,5,Felipe MassaMAS,Ferrari,56,+12.891s,6
4,19,Sebastian VettelVET,STR Ferrari,56,+53.509s,5
5,7,Jenson ButtonBUT,Honda,56,+68.666s,4
6,18,Vitantonio LiuzziLIU,STR Ferrari,56,+73.673s,3
7,9,Nick HeidfeldHEI,Sauber BMW,56,+74.224s,2
8,14,David CoulthardCOU,Red Bull Renault,56,+80.750s,1
9,4,Heikki KovalainenKOV,Renault,56,+81.186s,0
10,15,Mark WebberWEB,Red Bull Renault,56,+84.685s,0
11,3,Giancarlo FisichellaFIS,Renault,56,+86.683s,0
12,17,Alexander WurzWUR,Williams Toyota,55,+1 lap,0
13,12,Jarno TrulliTRU,Toyota,55,+1 lap,0
14,22,Takuma SatoSAT,Super Aguri Honda,55,+1 lap,0
15,8,Rubens BarrichelloBAR,Honda,55,+1 lap,0
16,16,Nico RosbergROS,Williams Toyota,54,+2 laps,0
17,21,Sakon YamamotoYAM,Spyker Ferrari,53,+3 laps,0
NC,10,Robert KubicaKUB,Sauber BMW,33,DNF,0
NC,2,Lewis HamiltonHAM,McLaren Mercedes,30,DNF,0
NC,11,Ralf SchumacherRSC,Toyota,25,DNF,0
NC,20,Adrian SutilSUT,Spyker Ferrari,24,DNF,0
NC,23,Anthony DavidsonDAV,Super Aguri Honda,11,DNF,0
