Pos,No,Driver,Car,Laps,Time/retired,Pts
1,5,Felipe MassaMAS,Ferrari,58,1:26:42.161,10
2,6,Kimi RäikkönenRAI,Ferrari,58,+2.275s,8
3,1,Fernando AlonsoALO,McLaren Mercedes,58,+26.181s,6
4,9,Nick HeidfeldHEI,Sauber BMW,58,+39.674s,5
5,2,Lewis HamiltonHAM,McLaren Mercedes,58,+45.085s,4
6,4,Heikki KovalainenKOV,Renault,58,+46.169s,3
7,16,Nico RosbergROS,Williams Toyota,58,+55.778s,2
8,10,Robert KubicaKUB,Sauber BMW,58,+56.707s,1
9,3,Giancarlo FisichellaFIS,Renault,58,+59.491s,0
10,14,David CoulthardCOU,Red Bull Renault,58,+71.009s,0
11,17,Alexander WurzWUR,Williams Toyota,58,+79.628s,0
12,11,Ralf SchumacherRSC,Toyota,57,+1 lap,0
13,7,Jenson ButtonBUT,Honda,57,+1 lap,0
14,23,Anthony DavidsonDAV,Super Aguri Honda,57,+1 lap,0
15,18,Vitantonio LiuzziLIU,STR Ferrari,57,+1 lap,0
16,12,Jarno TrulliTRU,Toyota,57,+1 lap,0
17,8,Rubens BarrichelloBAR,Honda,57,+1 lap,0
18,22,Takuma SatoSAT,Super Aguri Honda,57,+1 lap,0
19,19,Sebastian VettelVET,STR Ferrari,57,+1 lap,0
20,21,Sakon YamamotoYAM,Spyker Ferrari,56,+2 laps,0
21,20,Adrian SutilSUT,Spyker Ferrari,53,DNF,0
NC,15,Mark WebberWEB,Red Bull Renault,9,DNF,0
