Pos,No,Driver,Car,Time,Gap,Laps
1,22,Lewis HamiltonHAM,McLaren Mercedes,1:35.630,,23
2,2,Felipe MassaMAS,Ferrari,1:36.020,+0.390s,24
3,1,Kimi RäikkönenRAI,Ferrari,1:36.052,+0.422s,23
4,23,Heikki KovalainenKOV,McLaren Mercedes,1:36.103,+0.473s,21
5,4,Robert KubicaKUB,Sauber BMW,1:36.507,+0.877s,25
6,5,Fernando AlonsoALO,Renault,1:36.661,+1.031s,25
7,3,Nick HeidfeldHEI,Sauber BMW,1:37.040,+1.410s,23
8,14,Sebastien BourdaisBOU,STR Ferrari,1:37.070,+1.440s,32
9,6,Nelson PiquetPIQ,Renault,1:37.180,+1.550s,30
10,15,Sebastian VettelVET,STR Ferrari,1:37.278,+1.648s,25
11,10,Mark WebberWEB,Red Bull Renault,1:37.491,+1.861s,26
12,16,Jenson ButtonBUT,Honda,1:37.619,+1.989s,25
13,8,Kazuki NakajimaNAK,Williams Toyota,1:37.630,+2.000s,23
14,9,David CoulthardCOU,Red Bull Renault,1:37.638,+2.008s,22
15,7,Nico RosbergROS,Williams Toyota,1:37.638,+2.008s,26
16,12,Timo GlockGLO,Toyota,1:37.664,+2.034s,29
17,17,Rubens BarrichelloBAR,Honda,1:37.827,+2.197s,28
18,11,Jarno TrulliTRU,Toyota,1:38.219,+2.589s,24
19,20,Adrian SutilSUT,Force India Ferrari,1:38.285,+2.655s,25
20,21,Giancarlo FisichellaFIS,Force India Ferrari,1:38.479,+2.849s,26
