Pos,No,Driver,Car,Time,Gap,Laps
1,2,Felipe MassaMAS,Ferrari,1:47.284,,26
2,1,Kimi RäikkönenRAI,Ferrari,1:47.623,+0.339s,26
3,22,Lewis HamiltonHAM,McLaren Mercedes,1:47.878,+0.594s,27
4,23,Heikki KovalainenKOV,McLaren Mercedes,1:47.932,+0.648s,24
5,5,Fernando AlonsoALO,Renault,1:48.104,+0.820s,26
6,10,Mark WebberWEB,Red Bull Renault,1:48.428,+1.144s,29
7,14,Sebastien BourdaisBOU,STR Ferrari,1:48.557,+1.273s,31
8,15,Sebastian VettelVET,STR Ferrari,1:48.958,+1.674s,24
9,12,Timo GlockGLO,Toyota,1:48.997,+1.713s,26
10,6,Nelson PiquetPIQ,Renault,1:49.068,+1.784s,25
11,4,Robert KubicaKUB,Sauber BMW,1:49.139,+1.855s,25
12,3,Nick HeidfeldHEI,Sauber BMW,1:49.185,+1.901s,26
13,7,Nico RosbergROS,Williams Toyota,1:49.611,+2.327s,30
14,11,Jarno TrulliTRU,Toyota,1:49.625,+2.341s,14
15,9,David CoulthardCOU,Red Bull Renault,1:49.849,+2.565s,18
16,21,Giancarlo FisichellaFIS,Force India Ferrari,1:49.986,+2.702s,27
17,20,Adrian SutilSUT,Force India Ferrari,1:50.117,+2.833s,19
18,8,Kazuki NakajimaNAK,Williams Toyota,1:50.125,+2.841s,30
19,16,Jenson ButtonBUT,Honda,1:50.464,+3.180s,25
20,17,Rubens BarrichelloBAR,Honda,1:50.905,+3.621s,25
