Pos,No,Driver,Car,Time,Gap,Laps
1,2,Felipe MassaMAS,Ferrari,1:20.981,,19
2,1,Kimi RäikkönenRAI,Ferrari,1:21.345,+0.364s,21
3,23,Heikki KovalainenKOV,McLaren Mercedes,1:21.410,+0.429s,17
4,22,Lewis HamiltonHAM,McLaren Mercedes,1:21.535,+0.554s,18
5,5,Fernando AlonsoALO,Renault,1:21.802,+0.821s,18
6,12,Timo GlockGLO,Toyota,1:21.931,+0.950s,22
7,4,Robert KubicaKUB,Sauber BMW,1:22.267,+1.286s,18
8,6,Nelson PiquetPIQ,Renault,1:22.326,+1.345s,19
9,3,Nick HeidfeldHEI,Sauber BMW,1:22.370,+1.389s,22
10,11,Jarno TrulliTRU,Toyota,1:22.457,+1.476s,25
11,10,Mark WebberWEB,Red Bull Renault,1:22.654,+1.673s,23
12,9,David CoulthardCOU,Red Bull Renault,1:22.700,+1.719s,16
13,14,Sebastien BourdaisBOU,STR Ferrari,1:22.900,+1.919s,26
14,16,Jenson ButtonBUT,Honda,1:22.917,+1.936s,27
15,17,Rubens BarrichelloBAR,Honda,1:23.093,+2.112s,26
16,7,Nico RosbergROS,Williams Toyota,1:23.147,+2.166s,21
17,8,Kazuki NakajimaNAK,Williams Toyota,1:23.274,+2.293s,22
18,20,Adrian SutilSUT,Force India Ferrari,1:23.353,+2.372s,25
19,21,Giancarlo FisichellaFIS,Force India Ferrari,1:23.459,+2.478s,28
20,15,Sebastian VettelVET,STR Ferrari,1:23.923,+2.942s,4
