Pos,No,Driver,Car,Laps,Time/retired,Pts
1,22,Lewis HamiltonHAM,McLaren Mercedes,60,1:39:09.440,10
2,3,Nick HeidfeldHEI,Sauber BMW,60,+68.577s,8
3,17,Rubens BarrichelloBAR,Honda,60,+82.273s,6
4,1,Kimi RäikkönenRAI,Ferrari,59,+1 lap,5
5,23,Heikki KovalainenKOV,McLaren Mercedes,59,+1 lap,4
6,5,Fernando AlonsoALO,Renault,59,+1 lap,3
7,11,Jarno TrulliTRU,Toyota,59,+1 lap,2
8,8,Kazuki NakajimaNAK,Williams Toyota,59,+1 lap,1
9,7,Nico RosbergROS,Williams Toyota,59,+1 lap,0
10,10,Mark WebberWEB,Red Bull Renault,59,+1 lap,0
11,14,Sebastien BourdaisBOU,STR Ferrari,59,+1 lap,0
12,12,Timo GlockGLO,Toyota,59,+1 lap,0
13,2,Felipe MassaMAS,Ferrari,58,+2 laps,0
NC,4,Robert KubicaKUB,Sauber BMW,39,DNF,0
NC,16,Jenson ButtonBUT,Honda,38,DNF,0
NC,6,Nelson PiquetPIQ,Renault,35,DNF,0
NC,21,Giancarlo FisichellaFIS,Force India Ferrari,26,DNF,0
NC,20,Adrian SutilSUT,Force India Ferrari,10,DNF,0
NC,15,Sebastian VettelVET,STR Ferrari,0,DNF,0
NC,9,David CoulthardCOU,Red Bull Renault,0,DNF,0
