Pos,No,Driver,Car,Laps,Time/retired,Pts
1,2,Felipe MassaMAS,Ferrari,71,1:34:11.435,10
2,5,Fernando AlonsoALO,Renault,71,+13.298s,8
3,1,Kimi RäikkönenRAI,Ferrari,71,+16.235s,6
4,15,Sebastian VettelVET,STR Ferrari,71,+38.011s,5
5,22,Lewis HamiltonHAM,McLaren Mercedes,71,+38.907s,4
6,12,Timo GlockGLO,Toyota,71,+44.368s,3
7,23,Heikki KovalainenKOV,McLaren Mercedes,71,+55.074s,2
8,11,Jarno TrulliTRU,Toyota,71,+68.463s,1
9,10,Mark WebberWEB,Red Bull Renault,71,+79.666s,0
10,3,Nick HeidfeldHEI,Sauber BMW,70,+1 lap,0
11,4,Robert KubicaKUB,Sauber BMW,70,+1 lap,0
12,7,Nico RosbergROS,Williams Toyota,70,+1 lap,0
13,16,Jenson ButtonBUT,Honda,70,+1 lap,0
14,14,Sebastien BourdaisBOU,STR Ferrari,70,+1 lap,0
15,17,Rubens BarrichelloBAR,Honda,70,+1 lap,0
16,20,Adrian SutilSUT,Force India Ferrari,69,+2 laps,0
17,8,Kazuki NakajimaNAK,Williams Toyota,69,+2 laps,0
18,21,Giancarlo FisichellaFIS,Force India Ferrari,69,+2 laps,0
NC,6,Nelson PiquetPIQ,Renault,0,DNF,0
NC,9,David CoulthardCOU,Red Bull Renault,0,DNF,0
